date,gold_close,mm_long,mm_short,mm_net,mm_long_percentile_156w,mm_short_percentile_156w,mm_net_percentile_156w,gold_return_1w,gold_return_2w,gold_return_4w,gold_return_8w,mm_long_velocity_2w,mm_long_velocity_4w,mm_long_velocity_8w,mm_long_velocity_12w,mm_long_velocity_26w,mm_short_velocity_2w,mm_short_velocity_4w,mm_short_velocity_8w,mm_short_velocity_12w,mm_short_velocity_26w,mm_net_velocity_2w,mm_net_velocity_4w,mm_net_velocity_8w,mm_net_velocity_12w,mm_net_velocity_26w
2009-09-01,954.7000122070312,157220,7182,150038,,,,,,,,,,,,,,,,,,,,,,
2009-09-08,997.9000244140624,194723,7174,187549,,,,0.045249828904017,,,,,,,,,,,,,,,,,,
2009-09-15,1005.0,207387,5527,201860,,,,0.007114916737382,0.0526866944064319,,,,,,,,,,,,,,,,,
2009-09-22,1014.2000122070312,208236,5170,203066,,,,0.0091542410020211,0.0163342894019264,,,,,,,,,,,,,,,,,
2009-09-29,993.0999755859376,198175,3726,194449,,,,-0.0208046108924582,-0.0118408203124998,0.040222020412606,,,,,,,,,,,,,,,,
2009-10-06,1038.5999755859375,215753,6378,209375,,,,0.0458161324323409,0.0240583347320306,0.0407855999359985,,,,,,,,,,,,,,,,
2009-10-13,1064.199951171875,232086,5232,226854,,,,0.0246485424491704,0.0715939757666268,0.0589054240516169,,,,,,,,,,,,,,,,
2009-10-20,1057.800048828125,233990,6715,227275,,,,-0.0060138156712961,0.0184864949870189,0.0429895840034693,,,,,,,,,,,,,,,,
2009-10-27,1034.699951171875,217920,7549,210371,,,,-0.0218378678294081,-0.0277203545889239,0.0418890107830212,0.0837958918424055,,,,,,,,,,,,,,,
2009-11-03,1084.300048828125,227499,9278,218221,,,,0.0479366966240544,0.0250519935495916,0.0440016120897801,0.0865818441730112,,,,,,,,,,,,,,,
2009-11-09,1100.800048828125,223460,8495,214965,,,,0.0152171901290907,0.0638833485798338,0.0343921249159491,0.0953234316697761,,,,,,,,,,,,,,,
2009-11-17,1138.800048828125,222637,8401,214236,,,,0.034520347305992,0.0502628401233604,0.0765740180195067,0.1228554872031089,,,,,,,,,,,,,,,
2009-11-24,1165.5,225366,3589,221777,,,,0.0234456884677431,0.05877538908247,0.1264135063309746,0.1735978538438134,,,,,,,,,,,,,,,
2009-12-01,1199.0999755859375,224030,6874,217156,,,,0.0288288078815421,0.0529504075977724,0.1058746855926866,0.1545349545280436,,,,,,,,,,,,,,,
2009-12-08,1142.800048828125,213164,5353,207811,,,,-0.0469518204520866,-0.0194765775820463,0.038154068075044,0.0738583924662814,,,,,,,,,,,,,,,
2009-12-15,1122.4000244140625,212517,4429,208088,,,,-0.0178509131452886,-0.0639646007284719,-0.0144011448111007,0.0610701196861391,,,,,,,,,,,,,,,
2009-12-22,1086.0,206996,4813,202183,,,,-0.0324305271046877,-0.0497025257273747,-0.0682110682110682,0.0495796378167641,,,,,,,,,,,,,,,
2009-12-29,1097.0,201751,5926,195825,,,,0.0101289134438304,-0.0226300996628384,-0.0851471751019313,0.0117125800977329,,,,,,,,,,,,,,,
2010-01-05,1118.0999755859375,198506,6907,191599,,,,0.0192342530409639,0.0295579885690031,-0.0216136438456718,0.0157157757907346,,,,,,,,,,,,,,,
2010-01-12,1128.9000244140625,202180,11137,191043,,,,0.0096592872408081,0.029079329456757,0.0057911616701837,-0.0086933824987538,,,,,,,,,,,,,,,
2010-01-19,1139.699951171875,200320,7695,192625,0.2,0.8,,0.0095667698859498,0.0193184653050528,0.0494474688507136,-0.0221364640309952,,,,,,,,,,,,,,,
2010-01-26,1097.9000244140625,182133,7766,174367,0.0476190476190476,0.8095238095238095,,-0.0366762556362597,-0.0274603590482602,0.0008204415807315,-0.0843965918041352,,,,,,,,,,,,,,,
2010-02-02,1117.4000244140625,187024,8423,178601,0.0909090909090909,0.8636363636363636,,0.0177611800404202,-0.0195664891754036,-0.0006260184126273,-0.0222261317192878,-0.10909090909090911,,,,,0.0636363636363636,,,,,,,,,
2010-02-09,1076.699951171875,166132,13404,152728,0.0434782608695652,1.0,,-0.0364239058107499,-0.0193096573192096,-0.0462397662443856,-0.0407163865361146,-0.0041407867494824,,,,,0.19047619047619047,,,,,,,,,
2010-02-16,1119.300048828125,167613,10459,157154,0.0833333333333333,0.9166666666666666,,0.0395654310282862,0.0017003976844003,-0.017899362303889,0.0306630283868554,-0.007575757575757597,-0.11666666666666671,,,,0.05303030303030298,0.11666666666666659,,,,,,,,
