date,gold_close,gold_normalized_index,mm_long,mm_short,mm_net,mm_net_percentile_156w,mm_long_change_1w,mm_short_change_1w,mm_net_change_1w,mm_long_change_pct_1w,mm_short_change_pct_1w,mm_net_change_pct_1w,weekly_structure_state,net_weekly_state,weekly_change_state
2009-09-01,954.7000122070312,100.0,157220,7182,150038,,,,,,,,NEUTRAL,NEUTRAL,NEUTRAL
2009-09-08,997.9000244140624,104.5249828904017,194723,7174,187549,,37503.0,-8.0,37511.0,0.23853835389899503,-0.001113895850737956,0.2500099974673083,LONG_BUILDING_SHORT_COVERING,NET_UP,LONG_BUILDING_SHORT_COVERING
2009-09-15,1005.0,105.2686694406432,207387,5527,201860,,12664.0,-1647.0,14311.0,0.06503597417870513,-0.22957903540563146,0.07630539219084079,LONG_BUILDING_SHORT_COVERING,NET_UP,LONG_BUILDING_SHORT_COVERING
2009-09-22,1014.2000122070312,106.23232421066496,208236,5170,203066,,849.0,-357.0,1206.0,0.004093795657394147,-0.06459200289487968,0.005974437729119191,LONG_BUILDING_SHORT_COVERING,NET_UP,LONG_BUILDING_SHORT_COVERING
2009-09-29,993.0999755859376,104.0222020412606,198175,3726,194449,,-10061.0,-1444.0,-8617.0,-0.048315372942238616,-0.2793036750483559,-0.042434479430332996,LONG_LIQUIDATION_SHORT_COVERING,NET_DOWN,LONG_LIQUIDATION_SHORT_COVERING
2009-10-06,1038.5999755859375,108.78809702588671,215753,6378,209375,,17578.0,2652.0,14926.0,0.08869938185946764,0.711755233494364,0.07676048732572552,LONG_BUILDING_SHORT_BUILDING,NET_UP,LONG_BUILDING_SHORT_BUILDING
2009-10-13,1064.199951171875,111.46956505339378,232086,5232,226854,,16333.0,-1146.0,17479.0,0.07570230773152632,-0.17968015051740358,0.08348179104477611,LONG_BUILDING_SHORT_COVERING,NET_UP,LONG_BUILDING_SHORT_COVERING
2009-10-20,1057.800048828125,110.7992076362031,233990,6715,227275,,1904.0,1483.0,421.0,0.008203855467369854,0.2834480122324159,0.0018558191612226367,LONG_BUILDING_SHORT_BUILDING,NET_UP,LONG_BUILDING_SHORT_BUILDING
2009-10-27,1034.699951171875,108.37958918424056,217920,7549,210371,,-16070.0,834.0,-16904.0,-0.06867814863883072,0.12419955323901713,-0.07437685623143768,LONG_LIQUIDATION_SHORT_BUILDING,NET_DOWN,LONG_LIQUIDATION_SHORT_BUILDING
2009-11-03,1084.300048828125,113.57494867120515,227499,9278,218221,,9579.0,1729.0,7850.0,0.04395649779735683,0.22903695853755465,0.03731502916276483,LONG_BUILDING_SHORT_BUILDING,NET_UP,LONG_BUILDING_SHORT_BUILDING
