Market_and_Exchange_Names,As_of_Date_In_Form_YYMMDD,Report_Date_as_YYYY-MM-DD,CFTC_Contract_Market_Code,CFTC_Market_Code,CFTC_Region_Code,CFTC_Commodity_Code,Open_Interest_All,Prod_Merc_Positions_Long_All,Prod_Merc_Positions_Short_All,Swap_Positions_Long_All,Swap__Positions_Short_All,Swap__Positions_Spread_All,M_Money_Positions_Long_All,M_Money_Positions_Short_All,M_Money_Positions_Spread_All,Other_Rept_Positions_Long_All,Other_Rept_Positions_Short_All,Other_Rept_Positions_Spread_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Open_Interest_Old,Prod_Merc_Positions_Long_Old,Prod_Merc_Positions_Short_Old,Swap_Positions_Long_Old,Swap__Positions_Short_Old,Swap__Positions_Spread_Old,M_Money_Positions_Long_Old,M_Money_Positions_Short_Old,M_Money_Positions_Spread_Old,Other_Rept_Positions_Long_Old,Other_Rept_Positions_Short_Old,Other_Rept_Positions_Spread_Old,Tot_Rept_Positions_Long_Old,Tot_Rept_Positions_Short_Old,NonRept_Positions_Long_Old,NonRept_Positions_Short_Old,Open_Interest_Other,Prod_Merc_Positions_Long_Other,Prod_Merc_Positions_Short_Other,Swap_Positions_Long_Other,Swap__Positions_Short_Other,Swap__Positions_Spread_Other,M_Money_Positions_Long_Other,M_Money_Positions_Short_Other,M_Money_Positions_Spread_Other,Other_Rept_Positions_Long_Other,Other_Rept_Positions_Short_Other,Other_Rept_Positions_Spread_Other,Tot_Rept_Positions_Long_Other,Tot_Rept_Positions_Short_Other,NonRept_Positions_Long_Other,NonRept_Positions_Short_Other,Change_in_Open_Interest_All,Change_in_Prod_Merc_Long_All,Change_in_Prod_Merc_Short_All,Change_in_Swap_Long_All,Change_in_Swap_Short_All,Change_in_Swap_Spread_All,Change_in_M_Money_Long_All,Change_in_M_Money_Short_All,Change_in_M_Money_Spread_All,Change_in_Other_Rept_Long_All,Change_in_Other_Rept_Short_All,Change_in_Other_Rept_Spread_All,Change_in_Tot_Rept_Long_All,Change_in_Tot_Rept_Short_All,Change_in_NonRept_Long_All,Change_in_NonRept_Short_All,Pct_of_Open_Interest_All,Pct_of_OI_Prod_Merc_Long_All,Pct_of_OI_Prod_Merc_Short_All,Pct_of_OI_Swap_Long_All,Pct_of_OI_Swap_Short_All,Pct_of_OI_Swap_Spread_All,Pct_of_OI_M_Money_Long_All,Pct_of_OI_M_Money_Short_All,Pct_of_OI_M_Money_Spread_All,Pct_of_OI_Other_Rept_Long_All,Pct_of_OI_Other_Rept_Short_All,Pct_of_OI_Other_Rept_Spread_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Pct_of_Open_Interest_Old,Pct_of_OI_Prod_Merc_Long_Old,Pct_of_OI_Prod_Merc_Short_Old,Pct_of_OI_Swap_Long_Old,Pct_of_OI_Swap_Short_Old,Pct_of_OI_Swap_Spread_Old,Pct_of_OI_M_Money_Long_Old,Pct_of_OI_M_Money_Short_Old,Pct_of_OI_M_Money_Spread_Old,Pct_of_OI_Other_Rept_Long_Old,Pct_of_OI_Other_Rept_Short_Old,Pct_of_OI_Other_Rept_Spread_Old,Pct_of_OI_Tot_Rept_Long_Old,Pct_of_OI_Tot_Rept_Short_Old,Pct_of_OI_NonRept_Long_Old,Pct_of_OI_NonRept_Short_Old,Pct_of_Open_Interest_Other,Pct_of_OI_Prod_Merc_Long_Other,Pct_of_OI_Prod_Merc_Short_Other,Pct_of_OI_Swap_Long_Other,Pct_of_OI_Swap_Short_Other,Pct_of_OI_Swap_Spread_Other,Pct_of_OI_M_Money_Long_Other,Pct_of_OI_M_Money_Short_Other,Pct_of_OI_M_Money_Spread_Other,Pct_of_OI_Other_Rept_Long_Other,Pct_of_OI_Other_Rept_Short_Other,Pct_of_OI_Other_Rept_Spread_Other,Pct_of_OI_Tot_Rept_Long_Other,Pct_of_OI_Tot_Rept_Short_Other,Pct_of_OI_NonRept_Long_Other,Pct_of_OI_NonRept_Short_Other,Traders_Tot_All,Traders_Prod_Merc_Long_All,Traders_Prod_Merc_Short_All,Traders_Swap_Long_All,Traders_Swap_Short_All,Traders_Swap_Spread_All,Traders_M_Money_Long_All,Traders_M_Money_Short_All,Traders_M_Money_Spread_All,Traders_Other_Rept_Long_All,Traders_Other_Rept_Short_All,Traders_Other_Rept_Spread_All,Traders_Tot_Rept_Long_All,Traders_Tot_Rept_Short_All,Traders_Tot_Old,Traders_Prod_Merc_Long_Old,Traders_Prod_Merc_Short_Old,Traders_Swap_Long_Old,Traders_Swap_Short_Old,Traders_Swap_Spread_Old,Traders_M_Money_Long_Old,Traders_M_Money_Short_Old,Traders_M_Money_Spread_Old,Traders_Other_Rept_Long_Old,Traders_Other_Rept_Short_Old,Traders_Other_Rept_Spread_Old,Traders_Tot_Rept_Long_Old,Traders_Tot_Rept_Short_Old,Traders_Tot_Other,Traders_Prod_Merc_Long_Other,Traders_Prod_Merc_Short_Other,Traders_Swap_Long_Other,Traders_Swap_Short_Other,Traders_Swap_Spread_Other,Traders_M_Money_Long_Other,Traders_M_Money_Short_Other,Traders_M_Money_Spread_Other,Traders_Other_Rept_Long_Other,Traders_Other_Rept_Short_Other,Traders_Other_Rept_Spread_Other,Traders_Tot_Rept_Long_Other,Traders_Tot_Rept_Short_Other,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All,Conc_Gross_LE_4_TDR_Long_Old,Conc_Gross_LE_4_TDR_Short_Old,Conc_Gross_LE_8_TDR_Long_Old,Conc_Gross_LE_8_TDR_Short_Old,Conc_Net_LE_4_TDR_Long_Old,Conc_Net_LE_4_TDR_Short_Old,Conc_Net_LE_8_TDR_Long_Old,Conc_Net_LE_8_TDR_Short_Old,Conc_Gross_LE_4_TDR_Long_Other,Conc_Gross_LE_4_TDR_Short_Other,Conc_Gross_LE_8_TDR_Long_Other,Conc_Gross_LE_8_TDR_Short_Other,Conc_Net_LE_4_TDR_Long_Other,Conc_Net_LE_4_TDR_Short_Other,Conc_Net_LE_8_TDR_Long_Other,Conc_Net_LE_8_TDR_Short_Other,Contract_Units,CFTC_Contract_Market_Code_Quotes,CFTC_Market_Code_Quotes,CFTC_Commodity_Code_Quotes,CFTC_SubGroup_Code,FutOnly_or_Combined
"WHEAT-SRW - CHICAGO BOARD OF TRADE",260623,2026-06-23,001602,CBT ,00,001 ,  428305,   61192,   83194,   89952,   19306,   13358,   68457,  138890,   86545,   49364,   27342,   25749,  394617,  394384,   33688,   33921,  409845,   60481,   75776,   86078,   18943,   13084,   61191,  140793,   82444,   52747,   26780,   21225,  377250,  379045,   32595,   30800,   18460,     711,    7418,    4141,     630,       7,   10812,    1643,     555,     104,    4049,    1037,   17367,   15339,    1093,    3121,  -16336,   -2482,   -2649,   -2402,     370,   -2387,     595,    2060,   -7936,     704,   -3162,    -914,  -14822,  -14618,   -1514,   -1718,  100.0,   14.3,   19.4,   21.0,    4.5,    3.1,   16.0,   32.4,   20.2,   11.5,    6.4,    6.0,   92.1,   92.1,    7.9,    7.9,  100.0,   14.8,   18.5,   21.0,    4.6,    3.2,   14.9,   34.4,   20.1,   12.9,    6.5,    5.2,   92.0,   92.5,    8.0,    7.5,  100.0,    3.9,   40.2,   22.4,    3.4,    0.0,   58.6,    8.9,    3.0,    0.6,   21.9,    5.6,   94.1,   83.1,    5.9,   16.9,    382,     72,     89,     25,      8,     13,     53,     70,     68,     67,     38,     45,    285,    275,    381,     71,     89,     24,      9,     12,     52,     71,     67,     72,     35,     42,    282,    271,    120,     13,     53,     12,      4,.,      8,     10,.,.,     22,     10,     47,     94,    12.4,    13.9,    21.4,    22.8,     9.8,     8.9,    16.6,    15.3,    12.8,    14.6,    21.6,    23.8,     9.8,     9.9,    16.5,    16.6,    60.0,    25.4,    71.3,    37.3,    60.0,    22.0,    70.6,    33.0,"(CONTRACTS OF 5,000 BUSHELS)","001602","CBT ","001 ","A10","FutOnly"
"WHEAT-HRW - CHICAGO BOARD OF TRADE",260623,2026-06-23,001612,CBT ,00,001 ,  269180,   28477,   86692,   80885,    4626,    9376,   56863,   57621,   48082,    8102,   22471,   16970,  248755,  245838,   20425,   23342,  258226,   28005,   84556,   77948,    4525,    9235,   54484,   58962,   44103,   10698,   21749,   13772,  238245,  236902,   19981,   21324,   10954,     472,    2136,    3078,     242,       0,    5957,    2237,     401,     120,    3438,     482,   10510,    8936,     444,    2018,  -20354,   -4901,   -7163,    1632,   -2055,   -6170,   -2171,    6950,   -5386,    1224,   -2008,   -4647,  -20419,  -20479,      65,     125,  100.0,   10.6,   32.2,   30.0,    1.7,    3.5,   21.1,   21.4,   17.9,    3.0,    8.3,    6.3,   92.4,   91.3,    7.6,    8.7,  100.0,   10.8,   32.7,   30.2,    1.8,    3.6,   21.1,   22.8,   17.1,    4.1,    8.4,    5.3,   92.3,   91.7,    7.7,    8.3,  100.0,    4.3,   19.5,   28.1,    2.2,    0.0,   54.4,   20.4,    3.7,    1.1,   31.4,    4.4,   95.9,   81.6,    4.1,   18.4,    257,     60,     72,     19,      5,     11,     50,     41,     49,     22,     31,     30,    200,    195,    255,     60,     71,     18,      6,     11,     49,     41,     49,     26,     28,     30,    199,    194,     90,      8,     38,      9,.,      0,      8,      8,.,      5,     13,      6,     38,     63,    16.8,    14.8,    29.0,    25.9,    12.9,    13.8,    23.6,    21.2,    16.9,    15.4,    29.6,    26.9,    12.9,    14.5,    23.9,    22.3,    56.8,    40.5,    71.6,    53.3,    56.8,    36.3,    71.1,    47.6,"(CONTRACTS OF 5,000 BUSHELS)","001612","CBT ","001 ","A10","FutOnly"
"WHEAT-HRSpring - MIAX FUTURES EXCHANGE",260623,2026-06-23,001626,MGE ,00,001 ,   80274,   40747,   42772,    3642,    1697,     313,   19011,   18098,    3820,    2663,    1619,    2197,   72393,   70516,    7881,    9758,    8332,    4664,    6229,     408,       0,       0,    1038,    1045,      30,     905,      78,      40,    7085,    7422,    1247,     910,   71942,   36083,   36543,    3234,    1697,     313,   18358,   17438,    3405,    2406,    2189,    1509,   65308,   63094,    6634,    8848,   -3365,   -1955,   -7416,     -48,     -82,      27,   -1295,    3906,    -343,     229,     430,     661,   -2724,   -2817,    -641,    -548,  100.0,   50.8,   53.3,    4.5,    2.1,    0.4,   23.7,   22.5,    4.8,    3.3,    2.0,    2.7,   90.2,   87.8,    9.8,   12.2,  100.0,   56.0,   74.8,    4.9,    0.0,    0.0,   12.5,   12.5,    0.4,   10.9,    0.9,    0.5,   85.0,   89.1,   15.0,   10.9,  100.0,   50.2,   50.8,    4.5,    2.4,    0.4,   25.5,   24.2,    4.7,    3.3,    3.0,    2.1,   90.8,   87.7,    9.2,   12.3,    120,     55,     43,      6,.,.,     13,     21,     14,     10,      6,      8,     95,     85,     70,     24,     23,      5,      0,      0,      5,      6,.,      5,.,.,     41,     34,    119,     49,     38,      6,.,.,     13,     20,     12,      7,      9,      6,     85,     79,    31.5,    25.5,    43.9,    39.3,    30.4,    24.7,    40.7,    38.4,    38.4,    57.6,    52.7,    70.4,    38.4,    56.4,    52.7,    69.2,    33.1,    24.7,    45.8,    38.2,    32.2,    24.1,    44.6,    37.6,"(CONTRACTS OF 5,000 BUSHELS)","001626","MGE ","001 ","A10","FutOnly"
"CORN - CHICAGO BOARD OF TRADE",260623,2026-06-23,002602,CBT ,00,002 , 1921004,  432955,  783472,  356736,   22714,   27260,  308728,  383547,  246352,  212234,   79082,  188180, 1772445, 1730607,  148559,  190397,  889602,  224323,  262562,  168038,   11232,    8825,  191653,  329024,   55796,  129867,  126388,   37574,  816076,  831401,   73526,   58201, 1031402,  208632,  520910,  201033,   23817,    6100,  248273,  185721,   59358,  181510,   51837,   51463,  956369,  899206,   75033,  132196,  -37767,  -19775,  -41219,   -5588,    -120,   -2110,   14869,   40201,  -30132,    8611,    2790,    6638,  -27487,  -23952,  -10280,  -13815,  100.0,   22.5,   40.8,   18.6,    1.2,    1.4,   16.1,   20.0,   12.8,   11.0,    4.1,    9.8,   92.3,   90.1,    7.7,    9.9,  100.0,   25.2,   29.5,   18.9,    1.3,    1.0,   21.5,   37.0,    6.3,   14.6,   14.2,    4.2,   91.7,   93.5,    8.3,    6.5,  100.0,   20.2,   50.5,   19.5,    2.3,    0.6,   24.1,   18.0,    5.8,   17.6,    5.0,    5.0,   92.7,   87.2,    7.3,   12.8,    849,    333,    338,     32,      9,     23,     80,     75,     82,    118,     70,     97,    665,    615,    736,    286,    279,     28,      8,     11,     57,     66,     42,    107,     60,     52,    523,    477,    724,    189,    302,     32,      6,     14,     74,     55,     48,     87,     76,     51,    432,    502,     9.8,    10.1,    17.9,    17.5,     8.4,     7.2,    15.5,    12.9,    13.4,    18.2,    22.1,    27.3,    12.8,    18.0,    20.9,    26.9,    15.7,    11.6,    25.3,    20.2,    15.0,    11.6,    24.0,    19.4,"(CONTRACTS OF 5,000 BUSHELS)","002602","CBT ","002 ","A10","FutOnly"
"SOYBEANS - CHICAGO BOARD OF TRADE",260623,2026-06-23,005602,CBT ,00,005 , 1006834,  315071,  516375,  164293,   35645,   21581,  142168,  105182,  129359,   95670,   31812,   94187,  962329,  934141,   44505,   72693,  220334,   79732,  131666,   24712,    9669,    2264,   31895,   33360,    7540,   52975,   13849,    8523,  207641,  206871,   12693,   13463,  786500,  235339,  384709,  146754,   33149,   12144,  133477,   95026,   98615,   58575,   33843,   69784,  754688,  727270,   31812,   59230,  -13454,   -3741,  -16518,     614,   -3598,    2278,  -14970,    2538,    3770,     308,    -436,    1906,   -9835,  -10060,   -3619,   -3394,  100.0,   31.3,   51.3,   16.3,    3.5,    2.1,   14.1,   10.4,   12.8,    9.5,    3.2,    9.4,   95.6,   92.8,    4.4,    7.2,  100.0,   36.2,   59.8,   11.2,    4.4,    1.0,   14.5,   15.1,    3.4,   24.0,    6.3,    3.9,   94.2,   93.9,    5.8,    6.1,  100.0,   29.9,   48.9,   18.7,    4.2,    1.5,   17.0,   12.1,   12.5,    7.4,    4.3,    8.9,   96.0,   92.5,    4.0,    7.5,    616,    176,    251,     24,     14,     22,     71,     61,     80,     90,     49,     87,    466,    486,    430,    115,    182,     18,     10,     10,     31,     38,     22,     59,     34,     33,    265,    292,    584,    133,    232,     21,     16,     19,     80,     50,     73,     75,     65,     67,    386,    453,    11.9,    14.9,    19.8,    23.7,    11.8,    13.1,    18.8,    20.3,    18.5,    20.7,    29.4,    30.6,    15.1,    15.9,    24.1,    23.9,    14.0,    13.7,    22.8,    23.0,    13.9,    12.9,    21.9,    20.2,"(CONTRACTS OF 5,000 BUSHELS)","005602","CBT ","005 ","A30","FutOnly"
"MINI SOYBEANS - CHICAGO BOARD OF TRADE",260623,2026-06-23,005603,CBT ,00,005 ,   29516,      23,    9779,       0,       0,       0,       0,       0,       0,   19958,    1000,    2563,   22544,   13342,    6972,   16174,    6839,       9,     490,       0,       0,       0,       0,       0,       0,    5925,    2410,     143,    6077,    3043,     762,    3796,   22677,      14,    9289,       0,       0,       0,       0,       0,       0,   16236,     793,     217,   16467,   10299,    6210,   12378,     151,       5,      -2,       0,       0,       0,       0,       0,       0,     198,       6,     -12,     191,      -8,     -40,     159,  100.0,    0.1,   33.1,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   67.6,    3.4,    8.7,   76.4,   45.2,   23.6,   54.8,  100.0,    0.1,    7.2,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   86.6,   35.2,    2.1,   88.9,   44.5,   11.1,   55.5,  100.0,    0.1,   41.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   71.6,    3.5,    1.0,   72.6,   45.4,   27.4,   54.6,     24,.,     15,      0,      0,      0,      0,      0,      0,      6,.,      4,      9,     22,     22,.,     12,      0,      0,      0,      0,      0,      0,.,      6,.,      9,     18,     23,.,     15,      0,      0,      0,      0,      0,      0,      5,.,      4,      6,     22,    73.5,    30.8,    76.4,    35.9,    65.4,    25.6,    67.6,    29.8,    88.2,    38.6,    88.8,    43.7,    86.7,    37.5,    86.7,    41.5,    71.0,    31.1,    72.6,    36.3,    70.1,    31.1,    71.6,    36.2,"(Contracts of 1,000 Bushels)","005603","CBT ","005 ","A30","FutOnly"
"NJ SRECS - ICE FUTURES ENERGY DIV",260623,2026-06-23,0063CC,IFED,01,006 ,  161704,  120063,   92440,    9760,    3350,       0,       0,     740,       0,   26595,   59888,    5286,  161704,  161704,       0,       0,  161704,  120063,   92440,    9760,    3350,       0,       0,     740,       0,   26595,   59888,    5286,  161704,  161704,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1790,    1790,    1590,       0,       0,       0,       0,       0,       0,       0,     200,       0,    1790,    1790,       0,       0,  100.0,   74.2,   57.2,    6.0,    2.1,    0.0,    0.0,    0.5,    0.0,   16.4,   37.0,    3.3,  100.0,  100.0,    0.0,    0.0,  100.0,   74.2,   57.2,    6.0,    2.1,    0.0,    0.0,    0.5,    0.0,   16.4,   37.0,    3.3,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     36,     17,      9,.,.,      0,      0,.,      0,      5,      6,      4,     25,     21,     36,     17,      9,.,.,      0,      0,.,      0,      5,      6,      4,     25,     21,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    55.1,    80.3,    78.8,    90.7,    55.1,    80.3,    78.8,    86.6,    55.1,    80.3,    78.8,    90.7,    55.1,    80.3,    78.8,    86.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(10 SRECs)","0063CC","IFED","006 ","N60","FutOnly"
"PJM TRI-RECs CLASS 1  - ICE FUTURES ENERGY DIV",260623,2026-06-23,0063CH,IFED,01,006 ,  299429,  212252,  188030,   13715,    7991,       0,     288,    2622,    2978,   39834,   67451,   30339,  299406,  299411,      23,      18,  299429,  212252,  188030,   13715,    7991,       0,     288,    2622,    2978,   39834,   67451,   30339,  299406,  299411,      23,      18,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2745,    2445,    1053,       0,     242,       0,      50,       0,       0,    -664,     536,     914,    2745,    2745,       0,       0,  100.0,   70.9,   62.8,    4.6,    2.7,    0.0,    0.1,    0.9,    1.0,   13.3,   22.5,   10.1,  100.0,  100.0,    0.0,    0.0,  100.0,   70.9,   62.8,    4.6,    2.7,    0.0,    0.1,    0.9,    1.0,   13.3,   22.5,   10.1,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     53,     21,     18,.,.,      0,.,.,.,     11,      7,     12,     42,     37,     53,     21,     18,.,.,      0,.,.,.,     11,      7,     12,     42,     37,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    39.9,    53.3,    62.5,    71.8,    37.0,    52.0,    56.5,    66.7,    39.9,    53.3,    62.5,    71.8,    37.0,    52.0,    56.5,    66.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(100 MWh of renewable energy certificates)","0063CH","IFED","006 ","N60","FutOnly"
"CALIF LOW CARBON FSC-OPIS  - ICE FUTURES ENERGY DIV",260623,2026-06-23,0063CU,IFED,01,006 ,  109154,    6976,   85893,   30410,    2211,       0,   66832,       0,    2264,    2106,   18236,     540,  109128,  109144,      26,      10,  109154,    6976,   85893,   30410,    2211,       0,   66832,       0,    2264,    2106,   18236,     540,  109128,  109144,      26,      10,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -311,     275,    -386,    -100,      45,       0,    -237,       0,     -80,    -179,     110,       0,    -321,    -311,      10,       0,  100.0,    6.4,   78.7,   27.9,    2.0,    0.0,   61.2,    0.0,    2.1,    1.9,   16.7,    0.5,  100.0,  100.0,    0.0,    0.0,  100.0,    6.4,   78.7,   27.9,    2.0,    0.0,   61.2,    0.0,    2.1,    1.9,   16.7,    0.5,  100.0,  100.0,    0.0,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     52,      9,      8,.,.,      0,     14,      0,      4,     12,      5,.,     40,     19,     52,      9,      8,.,.,      0,     14,      0,      4,     12,      5,.,     40,     19,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    65.8,    81.7,    82.5,    94.0,    65.4,    80.3,    81.0,    92.2,    65.8,    81.7,    82.5,    94.0,    65.4,    80.3,    81.0,    92.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(100 LCFS Credits- each of 1 MT)","0063CU","IFED","006 ","N60","FutOnly"
"D6 RINs OPIS CURRENT YEAR - ICE FUTURES ENERGY DIV",260623,2026-06-23,0063CW,IFED,01,006 ,   27491,    4030,    6313,    1718,    5046,      42,    5270,    1487,    2254,   11769,    9991,    2260,   27343,   27393,     148,      98,   27491,    4030,    6313,    1718,    5046,      42,    5270,    1487,    2254,   11769,    9991,    2260,   27343,   27393,     148,      98,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2547,    1265,      73,    -179,     232,       0,     278,    -553,     362,     142,    1770,     663,    2531,    2547,      16,       0,  100.0,   14.7,   23.0,    6.2,   18.4,    0.2,   19.2,    5.4,    8.2,   42.8,   36.3,    8.2,   99.5,   99.6,    0.5,    0.4,  100.0,   14.7,   23.0,    6.2,   18.4,    0.2,   19.2,    5.4,    8.2,   42.8,   36.3,    8.2,   99.5,   99.6,    0.5,    0.4,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     70,      9,     10,.,.,.,      6,      7,.,     13,     23,      8,     38,     47,     70,      9,     10,.,.,.,      6,      7,.,     13,     23,      8,     38,     47,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    49.9,    41.2,    73.0,    60.0,    38.5,    40.3,    60.1,    55.1,    49.9,    41.2,    73.0,    60.0,    38.5,    40.3,    60.1,    55.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(50,000 RINs)","0063CW","IFED","006 ","N60","FutOnly"
