mm_feature,gold_horizon,lag_weeks,correlation,rank_correlation,sample_count,interpretation
mm_velocity_4w,1W,-8,-0.05440187677669534,-0.06434407044387812,821,weak_or_no_clear_historical_relationship
mm_velocity_4w,1W,-4,-0.029435604045477785,-0.05528797367107817,821,weak_or_no_clear_historical_relationship
mm_velocity_4w,1W,-2,0.2603650406214358,0.30591104223124077,821,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_4w,1W,0,0.20714845431204426,0.2681169384940284,821,same_week_positive_historical_alignment
mm_velocity_4w,1W,2,-0.03787347870089124,-0.017526645584528232,819,weak_or_no_clear_historical_relationship
mm_velocity_4w,1W,4,0.011836658831217605,0.022698603235343538,817,weak_or_no_clear_historical_relationship
mm_velocity_4w,1W,8,-0.05620026797880639,-0.050534438611243716,813,weak_or_no_clear_historical_relationship
mm_velocity_4w,2W,-8,-0.05834212759708157,-0.06709986509604234,821,weak_or_no_clear_historical_relationship
mm_velocity_4w,2W,-4,-0.10138039980685369,-0.1176175807440065,821,gold_or_later_mm_alignment_4w_negative_historical_alignment
mm_velocity_4w,2W,-2,0.35599859908643355,0.40483591346387865,821,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_4w,2W,0,0.3400307337656281,0.4235625707066834,821,same_week_positive_historical_alignment
mm_velocity_4w,2W,2,-0.04836965429756598,-0.0530658165611705,819,weak_or_no_clear_historical_relationship
mm_velocity_4w,2W,4,0.002694511279798637,-0.007280150954739933,817,weak_or_no_clear_historical_relationship
mm_velocity_4w,2W,8,-0.04737203689860803,-0.0416621012974065,813,weak_or_no_clear_historical_relationship
mm_velocity_4w,4W,-8,-0.09111009905646582,-0.11096833584444744,821,gold_or_later_mm_alignment_8w_negative_historical_alignment
mm_velocity_4w,4W,-4,-0.17710460841949763,-0.19285432998958993,821,gold_or_later_mm_alignment_4w_negative_historical_alignment
mm_velocity_4w,4W,-2,0.1803761846293984,0.1958528438739257,821,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_4w,4W,0,0.4966094794581589,0.5775877543725533,821,same_week_positive_historical_alignment
mm_velocity_4w,4W,2,0.20898588603996954,0.24014342444986192,819,mm_feature_leads_gold_2w_positive_historical_alignment
mm_velocity_4w,4W,4,-0.03142431489220884,-0.040998839240177866,817,weak_or_no_clear_historical_relationship
mm_velocity_4w,4W,8,0.014453814536935299,0.04550126829774822,813,weak_or_no_clear_historical_relationship
mm_velocity_4w,8W,-8,-0.16185617571695604,-0.19361001668326727,821,gold_or_later_mm_alignment_8w_negative_historical_alignment
mm_velocity_4w,8W,-4,-0.19109508240962053,-0.2086597475358408,821,gold_or_later_mm_alignment_4w_negative_historical_alignment
mm_velocity_4w,8W,-2,0.022909486276522433,0.045292714154980256,821,weak_or_no_clear_historical_relationship
mm_velocity_4w,8W,0,0.22368789217149426,0.2829991425505561,821,same_week_positive_historical_alignment
mm_velocity_4w,8W,2,0.276748854326221,0.31785396133639987,819,mm_feature_leads_gold_2w_positive_historical_alignment
mm_velocity_4w,8W,4,0.33444973048168675,0.362222613449246,817,mm_feature_leads_gold_4w_positive_historical_alignment
mm_velocity_4w,8W,8,-0.01214382276157105,0.020374284505396613,813,weak_or_no_clear_historical_relationship
mm_velocity_8w,1W,-8,-0.06475681543431834,-0.07666426769917382,817,weak_or_no_clear_historical_relationship
mm_velocity_8w,1W,-4,0.13850675753241828,0.1602312595596055,817,gold_or_later_mm_alignment_4w_positive_historical_alignment
mm_velocity_8w,1W,-2,0.17304879311499854,0.2192646013571741,817,gold_or_later_mm_alignment_2w_positive_historical_alignment
mm_velocity_8w,1W,0,0.16929241178434665,0.21657472819705106,817,same_week_positive_historical_alignment
mm_velocity_8w,1W,2,0.001941842423483823,0.02153250214648504,815,weak_or_no_clear_historical_relationship
mm_velocity_8w,1W,4,-0.03471534372806972,-0.03431404275337469,813,weak_or_no_clear_historical_relationship
