definition,signal_column,window_weeks,production_safe,horizon,rank_corr,high_low_spread,bucket_monotonicity_score,positive_bucket_count,negative_bucket_count,sample_count,missing_count,coverage,median_abs_weekly_change,p95_abs_weekly_change,note
52W percentile,mm_net_percentile_52w,52.0,True,1W,0.22072435173709443,0.013745882800707711,0.6848484848484848,9,1,822,52,0.9405034324942791,0.05769230769230771,0.2692307692307693,Trailing 52-week percentile using prior observations only.
52W percentile,mm_net_percentile_52w,52.0,True,2W,0.32102992058598273,0.029398603568516493,0.6727272727272726,8,2,822,52,0.9405034324942791,0.05769230769230771,0.2692307692307693,Trailing 52-week percentile using prior observations only.
52W percentile,mm_net_percentile_52w,52.0,True,4W,0.42968555265541275,0.05505846777136541,0.6969696969696969,8,2,822,52,0.9405034324942791,0.05769230769230771,0.2692307692307693,Trailing 52-week percentile using prior observations only.
52W percentile,mm_net_percentile_52w,52.0,True,8W,0.48790892804663466,0.0811975347558927,0.7696969696969697,8,2,822,52,0.9405034324942791,0.05769230769230771,0.2692307692307693,Trailing 52-week percentile using prior observations only.
104W percentile,mm_net_percentile_104w,104.0,True,1W,0.20678892807582852,0.013938984530137243,0.5878787878787878,8,2,822,52,0.9405034324942791,0.04807692307692309,0.2403846153846154,Trailing 104-week percentile using prior observations only.
104W percentile,mm_net_percentile_104w,104.0,True,2W,0.30077151880378644,0.02932795637624727,0.7212121212121211,8,2,822,52,0.9405034324942791,0.04807692307692309,0.2403846153846154,Trailing 104-week percentile using prior observations only.
104W percentile,mm_net_percentile_104w,104.0,True,4W,0.4276984456900118,0.05594753539965483,0.8424242424242423,8,2,822,52,0.9405034324942791,0.04807692307692309,0.2403846153846154,Trailing 104-week percentile using prior observations only.
104W percentile,mm_net_percentile_104w,104.0,True,8W,0.5318432108672483,0.09184132478128174,0.8666666666666665,8,2,822,52,0.9405034324942791,0.04807692307692309,0.2403846153846154,Trailing 104-week percentile using prior observations only.
156W percentile,mm_net_percentile_156w,156.0,True,1W,0.19961019438694805,0.010800815636066304,0.7818181818181817,8,2,822,52,0.9405034324942791,0.03846153846153855,0.21153846153846156,Trailing 156-week percentile using prior observations only.
156W percentile,mm_net_percentile_156w,156.0,True,2W,0.2932753147520018,0.024897400598274496,0.8545454545454544,8,2,822,52,0.9405034324942791,0.03846153846153855,0.21153846153846156,Trailing 156-week percentile using prior observations only.
156W percentile,mm_net_percentile_156w,156.0,True,4W,0.423112021265192,0.050919783249907515,0.9151515151515152,8,2,822,52,0.9405034324942791,0.03846153846153855,0.21153846153846156,Trailing 156-week percentile using prior observations only.
156W percentile,mm_net_percentile_156w,156.0,True,8W,0.5363389302003901,0.09262494323036814,0.8545454545454544,8,2,822,52,0.9405034324942791,0.03846153846153855,0.21153846153846156,Trailing 156-week percentile using prior observations only.
260W percentile,mm_net_percentile_260w,260.0,True,1W,0.19783395738464604,0.012565415473252278,0.8787878787878788,8,2,822,52,0.9405034324942791,0.038461538461538436,0.2038461538461538,Trailing 260-week percentile using prior observations only.
260W percentile,mm_net_percentile_260w,260.0,True,2W,0.2924136246959908,0.02773349833111346,0.9030303030303028,8,2,822,52,0.9405034324942791,0.038461538461538436,0.2038461538461538,Trailing 260-week percentile using prior observations only.
260W percentile,mm_net_percentile_260w,260.0,True,4W,0.4233908404075609,0.05367331392987079,0.8787878787878788,7,3,822,52,0.9405034324942791,0.038461538461538436,0.2038461538461538,Trailing 260-week percentile using prior observations only.
260W percentile,mm_net_percentile_260w,260.0,True,8W,0.5421524116278291,0.08772598015217448,0.7333333333333332,7,3,822,52,0.9405034324942791,0.038461538461538436,0.2038461538461538,Trailing 260-week percentile using prior observations only.
Full History percentile,mm_net_percentile_full_history,,False,1W,0.18878752072229518,0.012515062652409582,0.8424242424242423,6,4,873,1,0.9988558352402745,0.03775743707093826,0.1624713958810069,Full-sample benchmark. Research reference only because historical rows use future observations.
Full History percentile,mm_net_percentile_full_history,,False,2W,0.2707455352390093,0.02801116322073069,0.9151515151515152,6,4,872,2,0.9977116704805492,0.03775743707093826,0.1624713958810069,Full-sample benchmark. Research reference only because historical rows use future observations.
Full History percentile,mm_net_percentile_full_history,,False,4W,0.39467310510907333,0.05748012915956168,0.9393939393939393,6,4,870,4,0.9954233409610984,0.03775743707093826,0.1624713958810069,Full-sample benchmark. Research reference only because historical rows use future observations.
Full History percentile,mm_net_percentile_full_history,,False,8W,0.5009839574299073,0.09476311657869346,0.9636363636363635,6,4,866,8,0.9908466819221968,0.03775743707093826,0.1624713958810069,Full-sample benchmark. Research reference only because historical rows use future observations.
