definition,horizon,rank_corr,high_low_spread,weekly_change_avg,train_rank_corr,test_rank_corr,information_score,stability_score,train_test_score,interpretability_score,total_score,recommended,reason
104W percentile,1W,0.20678892807582852,0.013938984530137243,0.04807692307692309,0.1775017221279492,0.22566592928393153,66.0,16.666666666666675,100.0,90.0,67.73333333333333,True,rolling percentile is suitable for an online dashboard
52W percentile,1W,0.22072435173709443,0.013745882800707711,0.05769230769230771,0.20873806047553245,0.2193695717587639,69.0,0.0,100.0,75.0,62.6,False,rolling percentile is suitable for an online dashboard; 52W window is more reactive and gets a jumpiness penalty
260W percentile,1W,0.19783395738464604,0.012565415473252278,0.038461538461538436,0.17393005698945843,0.2480788481483851,36.0,33.33333333333339,100.0,90.0,59.06666666666668,False,rolling percentile is suitable for an online dashboard
156W percentile,1W,0.19961019438694805,0.010800815636066304,0.03846153846153855,0.16864242268841248,0.2321010977141725,33.0,33.3333333333332,100.0,90.0,57.866666666666646,False,rolling percentile is suitable for an online dashboard; 156W remains useful for continuity with the current dashboard
Full History percentile,1W,0.18878752072229518,0.012515062652409582,0.03775743707093826,0.16319381232407434,0.24372967274521679,21.0,34.553775743707035,100.0,55.0,46.31075514874141,False,full-history percentile is research-only and not real-time safe
52W percentile,2W,0.32102992058598273,0.029398603568516493,0.05769230769230771,0.33119321088809234,0.3002562793072964,85.0,0.0,100.0,75.0,69.0,True,rolling percentile is suitable for an online dashboard; 52W window is more reactive and gets a jumpiness penalty
104W percentile,2W,0.30077151880378644,0.02932795637624727,0.04807692307692309,0.288001928457145,0.2985743336309851,68.0,16.666666666666675,100.0,90.0,68.53333333333333,False,rolling percentile is suitable for an online dashboard
156W percentile,2W,0.2932753147520018,0.024897400598274496,0.03846153846153855,0.27725591123759086,0.30698040264034565,37.4,33.3333333333332,100.0,90.0,59.62666666666664,False,rolling percentile is suitable for an online dashboard; 156W remains useful for continuity with the current dashboard
260W percentile,2W,0.2924136246959908,0.02773349833111346,0.038461538461538436,0.27778156100500373,0.33508583337102604,34.0,33.33333333333339,100.0,90.0,58.26666666666668,False,rolling percentile is suitable for an online dashboard
Full History percentile,2W,0.2707455352390093,0.02801116322073069,0.03775743707093826,0.25322794471788845,0.31847753002108947,30.599999999999998,34.553775743707035,100.0,55.0,50.15075514874141,False,full-history percentile is research-only and not real-time safe
104W percentile,4W,0.4276984456900118,0.05594753539965483,0.04807692307692309,0.43710955233573723,0.3824759093314378,80.0,16.666666666666675,100.0,90.0,73.33333333333334,True,rolling percentile is suitable for an online dashboard; 4W/8W information receives primary research weight
52W percentile,4W,0.42968555265541275,0.05505846777136541,0.05769230769230771,0.48949214844770217,0.34173716139796073,84.0,0.0,100.0,75.0,68.6,False,rolling percentile is suitable for an online dashboard; 52W window is more reactive and gets a jumpiness penalty; 4W/8W information receives primary research weight
260W percentile,4W,0.4233908404075609,0.05367331392987079,0.038461538461538436,0.4259114409494758,0.4350339871528765,52.0,33.33333333333339,100.0,90.0,65.46666666666668,False,rolling percentile is suitable for an online dashboard; 4W/8W information receives primary research weight
Full History percentile,4W,0.39467310510907333,0.05748012915956168,0.03775743707093826,0.4066393638273869,0.4068895798742768,52.0,34.553775743707035,100.0,55.0,58.71075514874141,False,full-history percentile is research-only and not real-time safe; 4W/8W information receives primary research weight
156W percentile,4W,0.423112021265192,0.050919783249907515,0.03846153846153855,0.4263523524032096,0.39812757464966575,32.0,33.3333333333332,100.0,90.0,57.46666666666664,False,rolling percentile is suitable for an online dashboard; 156W remains useful for continuity with the current dashboard; 4W/8W information receives primary research weight
156W percentile,8W,0.5363389302003901,0.09262494323036814,0.03846153846153855,0.5648387323966918,0.4527051189746783,80.0,33.3333333333332,100.0,90.0,76.66666666666664,True,rolling percentile is suitable for an online dashboard; 156W remains useful for continuity with the current dashboard; 4W/8W information receives primary research weight
260W percentile,8W,0.5421524116278291,0.08772598015217448,0.038461538461538436,0.5639047068657506,0.516847687129066,76.0,33.33333333333339,100.0,90.0,75.06666666666668,False,rolling percentile is suitable for an online dashboard; 4W/8W information receives primary research weight
104W percentile,8W,0.5318432108672483,0.09184132478128174,0.04807692307692309,0.570150859095858,0.432295544589126,60.0,16.666666666666675,100.0,90.0,65.33333333333334,False,rolling percentile is suitable for an online dashboard; 4W/8W information receives primary research weight
Full History percentile,8W,0.5009839574299073,0.09476311657869346,0.03775743707093826,0.5498680698990686,0.4842386998068406,64.0,34.553775743707035,100.0,55.0,63.51075514874141,False,full-history percentile is research-only and not real-time safe; 4W/8W information receives primary research weight
52W percentile,8W,0.48790892804663466,0.0811975347558927,0.05769230769230771,0.6082000485133789,0.32491760557024957,20.0,0.0,100.0,75.0,43.0,False,rolling percentile is suitable for an online dashboard; 52W window is more reactive and gets a jumpiness penalty; 4W/8W information receives primary research weight
