mm_feature,gold_horizon,lag_weeks,correlation,rank_correlation,sample_count,interpretation
mm_long_velocity_4w,1W,-8,-0.060320936902071215,-0.06966157424812158,851,weak_historical_structure_relationship
mm_long_velocity_4w,1W,-4,-0.04643930198186708,-0.07316785264395384,851,weak_historical_structure_relationship
mm_long_velocity_4w,1W,-2,0.24769436956705962,0.29645352657743523,851,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_long_velocity_4w,1W,0,0.22089589251643738,0.2637876245959879,851,same_week_positive_historical_alignment
mm_long_velocity_4w,1W,2,-0.019457738780995052,-0.022547723481421724,849,weak_historical_structure_relationship
mm_long_velocity_4w,1W,4,0.007395488211858488,0.014331622434212573,847,weak_historical_structure_relationship
mm_long_velocity_4w,1W,8,-0.05035622337688723,-0.04616937748677572,843,weak_historical_structure_relationship
mm_long_velocity_4w,2W,-8,-0.07150604958969634,-0.07270125948931005,851,weak_historical_structure_relationship
mm_long_velocity_4w,2W,-4,-0.1277220449151225,-0.15165472121230092,851,mm_structure_feature_lags_or_confirms_gold_4w_negative_historical_alignment
mm_long_velocity_4w,2W,-2,0.3365208777060682,0.38936990893494217,851,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_long_velocity_4w,2W,0,0.3520319506799961,0.4333952342390724,851,same_week_positive_historical_alignment
mm_long_velocity_4w,2W,2,-0.021584149285745934,-0.04588160155137359,849,weak_historical_structure_relationship
mm_long_velocity_4w,2W,4,0.006160778784400352,-0.0026678313709736176,847,weak_historical_structure_relationship
mm_long_velocity_4w,2W,8,-0.04453698380287292,-0.04809401965705141,843,weak_historical_structure_relationship
mm_long_velocity_4w,4W,-8,-0.12082535981409605,-0.13922979092170212,851,mm_structure_feature_lags_or_confirms_gold_8w_negative_historical_alignment
mm_long_velocity_4w,4W,-4,-0.2011591410095716,-0.2128988575916177,851,mm_structure_feature_lags_or_confirms_gold_4w_negative_historical_alignment
mm_long_velocity_4w,4W,-2,0.1479814206506619,0.16514221822808847,851,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_long_velocity_4w,4W,0,0.49200808225171494,0.5771951164773885,851,same_week_positive_historical_alignment
mm_long_velocity_4w,4W,2,0.23674271048381063,0.25529764321464027,849,mm_structure_feature_leads_gold_2w_positive_historical_alignment
mm_long_velocity_4w,4W,4,-0.009781873776248977,-0.029653340569361517,847,weak_historical_structure_relationship
mm_long_velocity_4w,4W,8,0.006631458915493096,0.032858045361226905,843,weak_historical_structure_relationship
mm_long_velocity_4w,8W,-8,-0.18426855598683564,-0.1966719013776203,851,mm_structure_feature_lags_or_confirms_gold_8w_negative_historical_alignment
mm_long_velocity_4w,8W,-4,-0.22922441865089518,-0.2404699225527684,851,mm_structure_feature_lags_or_confirms_gold_4w_negative_historical_alignment
mm_long_velocity_4w,8W,-2,-0.010220623140656937,0.019681887457036945,851,weak_historical_structure_relationship
mm_long_velocity_4w,8W,0,0.204525437925723,0.26565594439517715,851,same_week_positive_historical_alignment
mm_long_velocity_4w,8W,2,0.2749583739441632,0.30060203198693214,849,mm_structure_feature_leads_gold_2w_positive_historical_alignment
mm_long_velocity_4w,8W,4,0.34635322339347463,0.36487567286648587,847,mm_structure_feature_leads_gold_4w_positive_historical_alignment
mm_long_velocity_4w,8W,8,-0.0017885211286320566,0.02367851119337004,843,weak_historical_structure_relationship
mm_long_velocity_8w,1W,-8,-0.08529152263664277,-0.10352498461914243,847,mm_structure_feature_lags_or_confirms_gold_8w_negative_historical_alignment
mm_long_velocity_8w,1W,-4,0.13837952345683727,0.14847538280188596,847,mm_structure_feature_lags_or_confirms_gold_4w_positive_historical_alignment
mm_long_velocity_8w,1W,-2,0.1807015167083458,0.21455625206496898,847,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_long_velocity_8w,1W,0,0.18082567593459506,0.22353782597062538,847,same_week_positive_historical_alignment
mm_long_velocity_8w,1W,2,0.013135667462637819,0.01265941364697002,845,weak_historical_structure_relationship
mm_long_velocity_8w,1W,4,-0.03402899209809469,-0.05353562517265115,843,weak_historical_structure_relationship
mm_long_velocity_8w,1W,8,-0.06374659161662224,-0.061519613546730474,839,weak_historical_structure_relationship
mm_long_velocity_8w,2W,-8,-0.15779920720358556,-0.16970069663265566,847,mm_structure_feature_lags_or_confirms_gold_8w_negative_historical_alignment
mm_long_velocity_8w,2W,-4,0.1780581457142224,0.20575247499057198,847,mm_structure_feature_lags_or_confirms_gold_4w_positive_historical_alignment
mm_long_velocity_8w,2W,-2,0.24759149465286817,0.2804942795552541,847,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_long_velocity_8w,2W,0,0.281212314167235,0.32708956997068045,847,same_week_positive_historical_alignment
mm_long_velocity_8w,2W,2,0.026349596272538262,0.018179516462489328,845,weak_historical_structure_relationship
mm_long_velocity_8w,2W,4,-0.03031157787264227,-0.05225997613063782,843,weak_historical_structure_relationship
mm_long_velocity_8w,2W,8,-0.09168075795888428,-0.08133013322887561,839,weak_historical_structure_relationship
mm_long_velocity_8w,4W,-8,-0.25340831888784265,-0.2631730606565356,847,mm_structure_feature_lags_or_confirms_gold_8w_negative_historical_alignment
mm_long_velocity_8w,4W,-4,0.23042878138439657,0.2512815768770599,847,mm_structure_feature_lags_or_confirms_gold_4w_positive_historical_alignment
mm_long_velocity_8w,4W,-2,0.3032468578609645,0.3389305269043518,847,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_long_velocity_8w,4W,0,0.37873377169258965,0.424146594988411,847,same_week_positive_historical_alignment
mm_long_velocity_8w,4W,2,0.22024073892856766,0.23741062363356477,845,mm_structure_feature_leads_gold_2w_positive_historical_alignment
mm_long_velocity_8w,4W,4,-0.002196106164947292,-0.014642666634043996,843,weak_historical_structure_relationship
mm_long_velocity_8w,4W,8,-0.1185073621064538,-0.10618917548080509,839,mm_structure_feature_leads_gold_8w_negative_historical_alignment
mm_long_velocity_8w,8W,-8,-0.3251153516173648,-0.3369755122080811,847,mm_structure_feature_lags_or_confirms_gold_8w_negative_historical_alignment
mm_long_velocity_8w,8W,-4,-0.018266109465932007,0.009089381625510354,847,weak_historical_structure_relationship
mm_long_velocity_8w,8W,-2,0.20825503581778468,0.24756632812949353,847,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_long_velocity_8w,8W,0,0.43343555310668613,0.48801558912139276,847,same_week_positive_historical_alignment
mm_long_velocity_8w,8W,2,0.3755503424729876,0.4130973137616493,845,mm_structure_feature_leads_gold_2w_positive_historical_alignment
mm_long_velocity_8w,8W,4,0.270824082045717,0.2866845123726206,843,mm_structure_feature_leads_gold_4w_positive_historical_alignment
mm_long_velocity_8w,8W,8,-0.08515543129005418,-0.0756516425600765,839,weak_historical_structure_relationship
mm_long_velocity_12w,1W,-8,0.08142332420848657,0.08829709255145309,843,weak_historical_structure_relationship
mm_long_velocity_12w,1W,-4,0.1308595196729879,0.14808595991808063,843,mm_structure_feature_lags_or_confirms_gold_4w_positive_historical_alignment
mm_long_velocity_12w,1W,-2,0.18674242897030816,0.2132908916973926,843,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_long_velocity_12w,1W,0,0.12526855076745244,0.16596726433156336,843,same_week_positive_historical_alignment
mm_long_velocity_12w,1W,2,-0.05741011078617156,-0.050499265630629515,841,weak_historical_structure_relationship
mm_long_velocity_12w,1W,4,-0.051727844606409897,-0.05702071494944885,839,weak_historical_structure_relationship
mm_long_velocity_12w,1W,8,-0.035095241738144024,-0.05296131292453689,835,weak_historical_structure_relationship
mm_long_velocity_12w,2W,-8,0.1081824811001767,0.13003077600701646,843,mm_structure_feature_lags_or_confirms_gold_8w_positive_historical_alignment
mm_long_velocity_12w,2W,-4,0.1634672146281454,0.16563278592011071,843,mm_structure_feature_lags_or_confirms_gold_4w_positive_historical_alignment
mm_long_velocity_12w,2W,-2,0.2597865648520755,0.2796193147871818,843,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_long_velocity_12w,2W,0,0.21897146976270596,0.2584360626517282,843,same_week_positive_historical_alignment
mm_long_velocity_12w,2W,2,-0.07853637856585798,-0.08385198461364937,841,weak_historical_structure_relationship
mm_long_velocity_12w,2W,4,-0.07805473487564427,-0.08626528609872872,839,weak_historical_structure_relationship
mm_long_velocity_12w,2W,8,-0.052364080768859025,-0.0688431592975091,835,weak_historical_structure_relationship
mm_long_velocity_12w,4W,-8,0.1211557684010412,0.1375579424379432,843,mm_structure_feature_lags_or_confirms_gold_8w_positive_historical_alignment
mm_long_velocity_12w,4W,-4,0.19874509363936627,0.2049448761239474,843,mm_structure_feature_lags_or_confirms_gold_4w_positive_historical_alignment
mm_long_velocity_12w,4W,-2,0.3013582587771943,0.3146050395136694,843,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_long_velocity_12w,4W,0,0.34233763939430745,0.38045497098448783,843,same_week_positive_historical_alignment
mm_long_velocity_12w,4W,2,0.10117817108301871,0.12204050221310299,841,mm_structure_feature_leads_gold_2w_positive_historical_alignment
mm_long_velocity_12w,4W,4,-0.11175968937559475,-0.10826479409777681,839,mm_structure_feature_leads_gold_4w_negative_historical_alignment
mm_long_velocity_12w,4W,8,-0.08151658791677127,-0.08643852869062926,835,weak_historical_structure_relationship
mm_long_velocity_12w,8W,-8,-0.1439798336484217,-0.11614197962186609,843,mm_structure_feature_lags_or_confirms_gold_8w_negative_historical_alignment
mm_long_velocity_12w,8W,-4,0.22767790595768478,0.25637058134147983,843,mm_structure_feature_lags_or_confirms_gold_4w_positive_historical_alignment
mm_long_velocity_12w,8W,-2,0.327930536644456,0.3708189359969835,843,mm_structure_feature_lags_or_confirms_gold_2w_positive_historical_alignment
mm_long_velocity_12w,8W,0,0.3849325927012094,0.4340187500241326,843,same_week_positive_historical_alignment
mm_long_velocity_12w,8W,2,0.28883189979195273,0.31477405313616025,841,mm_structure_feature_leads_gold_2w_positive_historical_alignment
mm_long_velocity_12w,8W,4,0.16687700353243787,0.19068568135697783,839,mm_structure_feature_leads_gold_4w_positive_historical_alignment
mm_long_velocity_12w,8W,8,-0.14054474891624524,-0.11820832268417042,835,mm_structure_feature_leads_gold_8w_negative_historical_alignment
mm_short_velocity_4w,1W,-8,0.035849183920381396,0.02584279229792187,851,weak_historical_structure_relationship
mm_short_velocity_4w,1W,-4,0.0021193443153484978,0.0384429988463193,851,weak_historical_structure_relationship
mm_short_velocity_4w,1W,-2,-0.20379154524530071,-0.2232618164790981,851,mm_structure_feature_lags_or_confirms_gold_2w_negative_historical_alignment
mm_short_velocity_4w,1W,0,-0.1716187602109791,-0.1953850164713892,851,same_week_negative_historical_alignment
mm_short_velocity_4w,1W,2,0.04800250183083467,0.039621103350954666,849,weak_historical_structure_relationship
mm_short_velocity_4w,1W,4,0.0322781615892546,0.02395451781987655,847,weak_historical_structure_relationship
mm_short_velocity_4w,1W,8,-0.01878406740554797,-0.0022047002036535554,843,weak_historical_structure_relationship
mm_short_velocity_4w,2W,-8,0.04666206379273668,0.03530172648574828,851,weak_historical_structure_relationship
mm_short_velocity_4w,2W,-4,0.03798902016775919,0.07131653370425517,851,weak_historical_structure_relationship
mm_short_velocity_4w,2W,-2,-0.30672289922196067,-0.3240788611991761,851,mm_structure_feature_lags_or_confirms_gold_2w_negative_historical_alignment
mm_short_velocity_4w,2W,0,-0.27969015830295046,-0.31363387333120923,851,same_week_negative_historical_alignment
mm_short_velocity_4w,2W,2,0.05394970577996296,0.061705812105340076,849,weak_historical_structure_relationship
mm_short_velocity_4w,2W,4,0.05586347769084426,0.054582153383304854,847,weak_historical_structure_relationship
mm_short_velocity_4w,2W,8,-0.018717275468963106,-0.022522243601200156,843,weak_historical_structure_relationship
mm_short_velocity_4w,4W,-8,0.054204675275084116,0.05299306640416061,851,weak_historical_structure_relationship
mm_short_velocity_4w,4W,-4,0.11842296540420495,0.15018038289152644,851,mm_structure_feature_lags_or_confirms_gold_4w_positive_historical_alignment
mm_short_velocity_4w,4W,-2,-0.1903353347271502,-0.1636525198270616,851,mm_structure_feature_lags_or_confirms_gold_2w_negative_historical_alignment
