feature_group,window,feature_name,horizon,correlation,rank_correlation,absolute_rank_correlation,high_low_spread,sample_count,weekly_change_avg,weekly_change_median,weekly_change_std,extreme_jump_count,stability_score,train_rank_corr,test_rank_corr,train_high_low_spread,test_high_low_spread,direction_consistency,information_score,train_test_score,interpretability_score,total_score,recommended,reason
long,12W,mm_long_velocity_12w,1W,0.1252270674836388,0.1660138702680902,0.1660138702680902,0.0077893223822454,843,0.11341655273570446,0.07051282051282048,0.12552184771455463,76,67.16666666666667,0.14325650317025682,0.1926040473274374,0.0059693065123810505,0.009545254857784999,True,91.25,100.0,90.0,87.29166666666667,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
long,26W,mm_long_velocity_26w,1W,0.13740646823838704,0.14658898758423566,0.14658898758423566,0.00836453914013505,829,0.1112466732132456,0.07692307692307693,0.11202158753435681,64,46.83333333333333,0.14193860441032485,0.1364864278071908,0.005414050882078,0.00764788970860145,True,93.91666666666666,100.0,65.0,80.77499999999999,False,medium-term window; slower response; train/test direction is consistent; historical structure research only
long,4W,mm_long_velocity_4w,1W,0.22083430977272298,0.26313229788396686,0.26313229788396686,0.015509912219891401,851,0.11318217969901025,0.07692307692307687,0.12480032723121862,73,60.5,0.2581169876085067,0.26569740808333275,0.01602400019098525,0.0167258413860865,True,71.41666666666667,100.0,85.0,77.19166666666666,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
long,8W,mm_long_velocity_8w,1W,0.18072957837282905,0.22295538775133406,0.22295538775133406,0.010956929556111949,847,0.10641268430111296,0.06410256410256417,0.11711333334618743,58,39.0,0.19753448590444772,0.2521191143012652,0.0116332726725421,0.014308914270379149,True,76.41666666666666,100.0,95.0,74.81666666666666,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
long,2W,mm_long_velocity_2w,1W,0.3067241474795429,0.39498130716262797,0.39498130716262797,0.0205496198358439,853,0.10650904321047168,0.06415870208973662,0.12267500513940735,63,48.166666666666664,0.40384338692619975,0.3885589590326118,0.02047169459365485,0.02240619291554135,True,44.5,100.0,55.0,60.34166666666667,True,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
long,12W,mm_long_velocity_12w,2W,0.21893833717004424,0.2581411593031274,0.2581411593031274,0.020538816654329,843,0.11341655273570446,0.07051282051282048,0.12552184771455463,76,67.16666666666667,0.238416194462918,0.2791181138910979,0.014469866758392999,0.0176688216515429,True,67.83333333333333,100.0,90.0,77.925,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
long,26W,mm_long_velocity_26w,2W,0.22136917857474037,0.21803520303812832,0.21803520303812832,0.01739703819997385,829,0.1112466732132456,0.07692307692307693,0.11202158753435681,64,46.83333333333333,0.23044574730290984,0.19076321258965995,0.0174785964791917,0.015425981786164951,True,76.16666666666666,100.0,65.0,73.675,False,medium-term window; slower response; train/test direction is consistent; historical structure research only
long,8W,mm_long_velocity_8w,2W,0.2811403235540172,0.32648457008844917,0.32648457008844917,0.0241730682416203,847,0.10641268430111296,0.06410256410256417,0.11711333334618743,58,39.0,0.30733945491865605,0.3522964946094914,0.024130666861416798,0.02503348756806075,True,51.416666666666664,100.0,95.0,64.81666666666666,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
long,4W,mm_long_velocity_4w,2W,0.35198355227899747,0.433318257547604,0.433318257547604,0.0311980222798687,851,0.11318217969901025,0.07692307692307687,0.12480032723121862,73,60.5,0.4330305748037613,0.43007421389335965,0.03545127165630755,0.0264404016726545,True,30.666666666666664,100.0,85.0,60.891666666666666,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
long,2W,mm_long_velocity_2w,2W,0.49036028352762423,0.62121926967077,0.62121926967077,0.0433068281026088,853,0.10650904321047168,0.06415870208973662,0.12267500513940735,63,48.166666666666664,0.6392307899619158,0.6046042980476135,0.042769793483598495,0.04712471465813049,True,15.583333333333332,100.0,55.0,48.775,True,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
long,26W,mm_long_velocity_26w,4W,0.28714357687095793,0.2832025589553077,0.2832025589553077,0.033943201130393154,829,0.1112466732132456,0.07692307692307693,0.11202158753435681,64,46.83333333333333,0.33181117776411717,0.20292911469967734,0.03999337356236,0.0259829189873876,True,56.0,100.0,65.0,65.60833333333333,False,medium-term window; slower response; train/test direction is consistent; historical structure research only
long,12W,mm_long_velocity_12w,4W,0.3423070455201941,0.38045832422947984,0.38045832422947984,0.0415706867154376,843,0.11341655273570446,0.07051282051282048,0.12552184771455463,76,67.16666666666667,0.3830754894092546,0.3717807744617806,0.0431456903701737,0.03664591161003585,True,36.25,100.0,90.0,65.29166666666667,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
long,8W,mm_long_velocity_8w,4W,0.3786777158234687,0.42352880712759017,0.42352880712759017,0.04377162163385635,847,0.10641268430111296,0.06410256410256417,0.11711333334618743,58,39.0,0.4325369352841629,0.41416876459106394,0.045144955255184104,0.049787549545325854,True,27.416666666666664,100.0,95.0,55.21666666666667,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
long,2W,mm_long_velocity_2w,4W,0.33798147749534635,0.4195022556779686,0.4195022556779686,0.0492509745934433,853,0.10650904321047168,0.06415870208973662,0.12267500513940735,63,48.166666666666664,0.5047811085893429,0.3175315939085355,0.052840811485068445,0.0364861709242071,True,25.583333333333336,100.0,55.0,52.775,True,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
long,4W,mm_long_velocity_4w,4W,0.49196586635887046,0.5765645477145371,0.5765645477145371,0.06040498940274901,851,0.11318217969901025,0.07692307692307687,0.12480032723121862,73,60.5,0.6098495279048555,0.5289296216514193,0.06698127612013895,0.05509359130326815,True,10.166666666666666,100.0,85.0,52.69166666666666,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
long,2W,mm_long_velocity_2w,8W,0.12951023933448072,0.20172522197273857,0.20172522197273857,0.031872902243001704,853,0.10650904321047168,0.06415870208973662,0.12267500513940735,63,48.166666666666664,0.23358542655140144,0.17173820532018588,0.03328176173283055,0.036816845027954945,True,74.5,100.0,55.0,72.34166666666667,True,short-term window; higher noise risk; train/test direction is consistent; historical structure research only
long,4W,mm_long_velocity_4w,8W,0.20451964400949604,0.26582862089129305,0.26582862089129305,0.0501256068237308,851,0.11318217969901025,0.07692307692307687,0.12480032723121862,73,60.5,0.30421293203132765,0.2052543335078446,0.04740750639065735,0.0492807592454216,True,49.916666666666664,100.0,85.0,68.59166666666667,False,short-term velocity candidate; train/test direction is consistent; historical structure research only
long,26W,mm_long_velocity_26w,8W,0.2913483496772186,0.3022558126567902,0.3022558126567902,0.05353551042487795,829,0.1112466732132456,0.07692307692307693,0.11202158753435681,64,46.83333333333333,0.39961374831117175,0.16437280547518998,0.0634972354880962,0.02413675441210795,True,40.083333333333336,100.0,65.0,59.24166666666667,False,medium-term window; slower response; train/test direction is consistent; historical structure research only
long,12W,mm_long_velocity_12w,8W,0.38491061168341295,0.43384884622985437,0.43384884622985437,0.0700517462947974,843,0.11341655273570446,0.07051282051282048,0.12552184771455463,76,67.16666666666667,0.4734748769240658,0.3739094643947109,0.07396915393213119,0.0476595673755442,True,11.000000000000002,100.0,90.0,55.19166666666667,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
long,8W,mm_long_velocity_8w,8W,0.4333965625482001,0.487877772194297,0.487877772194297,0.07962112709692935,847,0.10641268430111296,0.06410256410256417,0.11711333334618743,58,39.0,0.5525168471356368,0.40470413579807374,0.08557937306236771,0.0710734114950591,True,5.999999999999999,100.0,95.0,46.65,False,current swing velocity baseline; train/test direction is consistent; historical structure research only
net,12W,mm_net_velocity_12w,1W,0.11410887575624436,0.15782679392292323,0.15782679392292323,0.0089071442464676,812,0.10345978658788917,0.06938339424593698,0.1074391248774687,50,18.5,0.12790169361586065,0.18441916909944356,0.0034158076995412,0.01087537464027775,True,91.16666666666666,100.0,90.0,75.09166666666667,False,medium swing velocity candidate; train/test direction is consistent; historical structure research only
