factor,sample_split,gold_regime,forward_horizon,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,max_drawdown_after_signal
oi_percentile_156w,all,all,1W,0-10 percentile,152,0.0003003336897810903,0.0008736127162825014,0.5131578947368421,-0.12570918451764834
oi_percentile_156w,all,all,1W,10-20 percentile,66,0.005904036322876774,0.00781845872849174,0.6515151515151515,-0.04462030767173264
oi_percentile_156w,all,all,1W,20-30 percentile,74,-0.000669704463197148,0.002550266241878485,0.5675675675675675,-0.08635005098425519
oi_percentile_156w,all,all,1W,30-40 percentile,90,0.0025890396243196867,0.0014145122118099929,0.5222222222222223,-0.04491460574242323
oi_percentile_156w,all,all,1W,40-50 percentile,75,0.0025233947949550414,0.0022638327766633104,0.56,-0.035025736266326324
oi_percentile_156w,all,all,1W,50-60 percentile,54,0.004112350069664674,0.004043371098251924,0.6111111111111112,-0.050276545080313984
oi_percentile_156w,all,all,1W,60-70 percentile,79,-0.0020422984597546555,-0.00023902558468402724,0.4810126582278481,-0.048254193694034275
oi_percentile_156w,all,all,1W,70-80 percentile,73,0.003637147864678863,0.0017559296458082851,0.5342465753424658,-0.05622979951011842
oi_percentile_156w,all,all,1W,80-90 percentile,62,0.003586443561712952,0.0061745142109421725,0.5806451612903226,-0.0808871997749745
oi_percentile_156w,all,all,1W,90-100 percentile,98,0.001463810084759266,0.0024734468423323053,0.5714285714285714,-0.05071641191914644
oi_percentile_156w,all,all,2W,0-10 percentile,151,0.0008198518345346884,0.003367248302493575,0.5165562913907285,-0.15878546754349454
oi_percentile_156w,all,all,2W,10-20 percentile,66,0.010115959412346215,0.009489110096645548,0.6515151515151515,-0.06468940995295891
oi_percentile_156w,all,all,2W,20-30 percentile,74,0.004226336947621675,0.003284888824598542,0.5540540540540541,-0.1062216467438084
oi_percentile_156w,all,all,2W,30-40 percentile,90,0.0019465476475877006,-2.9327946105717206e-05,0.5,-0.06125140330543344
oi_percentile_156w,all,all,2W,40-50 percentile,75,0.0014182973523474344,0.00023470101404154953,0.5066666666666667,-0.09645285117833136
oi_percentile_156w,all,all,2W,50-60 percentile,54,0.006589450225612755,0.0031405587431455606,0.5740740740740741,-0.05401879676324972
oi_percentile_156w,all,all,2W,60-70 percentile,79,0.004137801699739409,0.003754952005700085,0.5316455696202531,-0.05622979951011842
oi_percentile_156w,all,all,2W,70-80 percentile,73,0.004174794135814647,0.0013167597346188664,0.547945205479452,-0.05797099093690261
oi_percentile_156w,all,all,2W,80-90 percentile,62,0.007409648299532025,0.006422844785055393,0.5967741935483871,-0.0808871997749745
oi_percentile_156w,all,all,2W,90-100 percentile,98,0.0014017901713819622,0.0015564620409653784,0.5204081632653061,-0.0808871997749745
oi_percentile_156w,all,all,4W,0-10 percentile,149,0.003717795031552948,0.0021862499319855733,0.5436241610738255,-0.15878546754349454
oi_percentile_156w,all,all,4W,10-20 percentile,66,0.011290096601478342,0.010860699463258405,0.5909090909090909,-0.13096878907447018
oi_percentile_156w,all,all,4W,20-30 percentile,74,0.014056045532321476,0.011627467605202724,0.6081081081081081,-0.1062216467438084
oi_percentile_156w,all,all,4W,30-40 percentile,90,0.00023512669416755338,0.0037543941075564025,0.5333333333333333,-0.13932848829941735
oi_percentile_156w,all,all,4W,40-50 percentile,75,0.0034163386579500665,-0.00608321441598636,0.41333333333333333,-0.11610471424735846
oi_percentile_156w,all,all,4W,50-60 percentile,54,0.011397151702866473,0.003759501562356493,0.5370370370370371,-0.13647792390513236
oi_percentile_156w,all,all,4W,60-70 percentile,79,0.01053527838938919,0.0038924961912021327,0.5569620253164557,-0.07030730860202183
oi_percentile_156w,all,all,4W,70-80 percentile,73,0.009322568839193648,0.006215131665364915,0.5753424657534246,-0.06703511627629144
oi_percentile_156w,all,all,4W,80-90 percentile,62,0.008588649882282046,0.005219988378293849,0.5483870967741935,-0.0830846920054108
oi_percentile_156w,all,all,4W,90-100 percentile,98,0.006724936477042128,0.004985694712360322,0.6224489795918368,-0.09278442175562396
oi_percentile_156w,all,all,8W,0-10 percentile,145,0.007612346437427548,-0.005870482711560099,0.4896551724137931,-0.15878546754349454
oi_percentile_156w,all,all,8W,10-20 percentile,66,0.02364502767339467,0.023990700838601664,0.6515151515151515,-0.13660859338868192
oi_percentile_156w,all,all,8W,20-30 percentile,74,0.029001985850824356,0.009294497942698987,0.5405405405405406,-0.14140658076298185
oi_percentile_156w,all,all,8W,30-40 percentile,90,0.01194945537587399,0.001528804668216699,0.5111111111111111,-0.14175294990618525
oi_percentile_156w,all,all,8W,40-50 percentile,75,0.011168008595030256,0.0020052659139677687,0.5066666666666667,-0.13647792390513236
oi_percentile_156w,all,all,8W,50-60 percentile,54,0.018831304487666012,0.018229157119326267,0.6481481481481481,-0.13647792390513236
oi_percentile_156w,all,all,8W,60-70 percentile,79,0.006557371368137626,-0.008907772894159671,0.43037974683544306,-0.15878546754349454
oi_percentile_156w,all,all,8W,70-80 percentile,73,0.022115274088453502,0.013354649387181672,0.6027397260273972,-0.11273366392236395
oi_percentile_156w,all,all,8W,80-90 percentile,62,0.004733975345609924,0.004735317355448965,0.5645161290322581,-0.1204135739072435
oi_percentile_156w,all,all,8W,90-100 percentile,98,0.016568062637252183,0.019749970848658704,0.5714285714285714,-0.09770795890147499
