factor,display_name,definition,horizon,sample_count,spearman_ic,pearson_ic,decile_monotonicity,tail_spread_top_minus_bottom,tail_spread_tstat,nonempty_deciles,bottom_decile_count,top_decile_count,bottom_decile_avg_return,top_decile_avg_return,abs_spearman_ic,abs_decile_monotonicity,abs_tail_spread_tstat,abs_spearman_ic_rank,abs_decile_monotonicity_rank,abs_tail_spread_tstat_rank,sample_count_rank,nonempty_deciles_rank,information_score
mm_net,MM Net,rolling_52w,1W,822,-0.01823687827703308,-0.013631336353640262,-0.24848484848484845,-0.00023537348842280815,-0.08866072550053326,10,166,138,0.0020985841446715093,0.0018632106562487011,0.01823687827703308,0.24848484848484845,0.08866072550053326,0.4,0.8,0.2,0.5,0.6,0.5
mm_net,MM Net,rolling_104w,1W,822,0.004480620230392366,0.011208640482940138,0.07878787878787878,0.0018675149408210808,0.6442860717664378,10,166,107,0.0013631457578749536,0.0032306606986960344,0.004480620230392366,0.07878787878787878,0.6442860717664378,0.2,0.3,0.8,0.5,0.6,0.48
mm_net,MM Net,rolling_156w,1W,822,0.018936530673630315,0.02405697479913314,0.07878787878787878,0.0019392607129323051,0.7074512205331126,10,166,110,0.0012590751373795566,0.003198335850311862,0.018936530673630315,0.07878787878787878,0.7074512205331126,0.6,0.3,1.0,0.5,0.6,0.6
mm_net,MM Net,rolling_260w,1W,822,0.031794085627490434,0.039853726998960864,0.4545454545454545,0.0013197554722958124,0.42888411235893514,10,169,74,0.0014337442687684518,0.002753499741064264,0.031794085627490434,0.4545454545454545,0.42888411235893514,1.0,1.0,0.6,0.5,0.6,0.74
mm_net,MM Net,full_history,1W,873,0.027942569522488143,0.016686528810748547,0.17575757575757575,-0.0012633493064980275,-0.39476942869280085,10,87,88,0.0036628151203509946,0.002399465813852967,0.027942569522488143,0.17575757575757575,0.39476942869280085,0.8,0.6,0.4,1.0,0.6,0.6799999999999999
mm_net,MM Net,rolling_52w,2W,821,-0.03833785872336433,-0.02061585675992105,-0.34545454545454546,-0.0007983796315714632,-0.22130227809183695,10,166,138,0.004306455195760253,0.00350807556418879,0.03833785872336433,0.34545454545454546,0.22130227809183695,1.0,0.6,0.4,0.5,0.6,0.62
mm_net,MM Net,rolling_104w,2W,821,-0.011358466915016942,0.014657016017388594,0.406060606060606,0.003296519533304943,0.8120846570997675,10,165,107,0.001559502918710803,0.004856022452015746,0.011358466915016942,0.406060606060606,0.8120846570997675,0.4,0.8,0.8,0.5,0.6,0.62
mm_net,MM Net,rolling_156w,2W,821,0.00879749805128709,0.03417956791551371,0.12727272727272726,0.004660537567216451,1.2091855738814328,10,166,110,0.0015315354379818417,0.0061920730051982925,0.00879749805128709,0.12727272727272726,1.2091855738814328,0.2,0.4,1.0,0.5,0.6,0.54
mm_net,MM Net,rolling_260w,2W,821,0.027663210845516737,0.05812509527385039,0.5636363636363636,0.00030681516272007244,0.07214313203363813,10,169,74,0.003660076796415716,0.003966891959135788,0.027663210845516737,0.5636363636363636,0.07214313203363813,0.8,1.0,0.2,0.5,0.6,0.62
mm_net,MM Net,full_history,2W,872,0.01454558518064525,0.024693938469809794,0.0303030303030303,-0.0018045036277553267,-0.41289897773796597,10,87,88,0.00801345130789904,0.0062089476801437124,0.01454558518064525,0.0303030303030303,0.41289897773796597,0.6,0.2,0.6,1.0,0.6,0.6
mm_net,MM Net,rolling_52w,4W,819,-0.04002207529902312,-0.028855057020178612,-0.28484848484848485,-0.0019330907284914713,-0.4130812008657913,10,166,138,0.008221252369263628,0.006288161640772157,0.04002207529902312,0.28484848484848485,0.4130812008657913,0.8,0.4,0.4,0.5,0.6,0.54
mm_net,MM Net,rolling_104w,4W,819,0.005008106680389949,0.02437318995995547,0.35757575757575755,0.0062774396295269316,1.1797987906805991,10,164,107,0.002589841312708885,0.008867280942235817,0.005008106680389949,0.35757575757575755,1.1797987906805991,0.2,0.8,0.8,0.5,0.6,0.58
mm_net,MM Net,rolling_156w,4W,819,0.029221051233583654,0.052077919038366345,0.309090909090909,0.008596996317779007,1.680510759555653,10,166,110,0.003104521145604787,0.011701517463383795,0.029221051233583654,0.309090909090909,1.680510759555653,0.6,0.6,1.0,0.5,0.6,0.66
mm_net,MM Net,rolling_260w,4W,819,0.05450989086125852,0.08712262615061044,0.5878787878787878,0.00022315809614622227,0.0391955292311367,10,169,74,0.0067527472493544745,0.006975905345500697,0.05450989086125852,0.5878787878787878,0.0391955292311367,1.0,1.0,0.2,0.5,0.6,0.66
mm_net,MM Net,full_history,4W,870,0.028836335234053094,0.038045492023423506,0.16363636363636364,-0.0029846264827125893,-0.4840815387537735,10,87,88,0.014388454822960625,0.011403828340248036,0.028836335234053094,0.16363636363636364,0.4840815387537735,0.4,0.2,0.6,1.0,0.6,0.56
mm_net,MM Net,rolling_52w,8W,815,-0.02161002367061617,-0.027172251544235283,-0.2727272727272727,-0.003084764544793296,-0.45734974541289364,10,164,138,0.01455509186456756,0.011470327319774265,0.02161002367061617,0.2727272727272727,0.45734974541289364,0.2,0.2,0.2,0.5,0.6,0.34
mm_net,MM Net,rolling_104w,8W,815,0.05518682643379499,0.04838954986841773,0.33333333333333326,0.009924067378881317,1.3350846186801004,10,160,107,0.006988956445999628,0.016913023824880944,0.05518682643379499,0.33333333333333326,1.3350846186801004,0.4,0.4,0.6,0.5,0.6,0.5
mm_net,MM Net,rolling_156w,8W,815,0.07982626421720779,0.08380065748864231,0.7575757575757575,0.011421538400336016,1.6261519607080281,10,166,110,0.01048799603725975,0.021909534437595767,0.07982626421720779,0.7575757575757575,1.6261519607080281,0.8,1.0,0.8,0.5,0.6,0.74
mm_net,MM Net,rolling_260w,8W,815,0.10675057424471945,0.12802959077067383,0.6606060606060605,0.0056186169087701614,0.6828649965555946,10,169,74,0.009910417042585029,0.01552903395135519,0.10675057424471945,0.6606060606060605,0.6828649965555946,1.0,0.8,0.4,0.5,0.6,0.66
mm_net,MM Net,full_history,8W,866,0.058128467459811727,0.06898378674387727,0.38181818181818183,-0.01684224339802648,-2.022269772656918,10,87,88,0.03386243642799509,0.017020193029968614,0.058128467459811727,0.38181818181818183,2.022269772656918,0.6,0.6,1.0,1.0,0.6,0.76
producer_net,Producer Net,rolling_52w,1W,822,0.004292563947100472,0.009493252653387723,0.43030303030303024,4.24982712809405e-05,0.015282682895015217,10,115,182,0.0005934965044916308,0.0006359947757725713,0.004292563947100472,0.43030303030303024,0.015282682895015217,0.2,1.0,0.2,0.5,0.6,0.5
producer_net,Producer Net,rolling_104w,1W,822,-0.01627765761325454,-0.017999755158431118,-0.18787878787878787,0.002224891262126902,0.7763507656607842,10,94,174,-0.0023949831976744565,-0.00017009193554755442,0.01627765761325454,0.18787878787878787,0.7763507656607842,0.6,0.8,0.8,0.5,0.6,0.66
producer_net,Producer Net,rolling_156w,1W,822,-0.03364796781694356,-0.028789654138231653,-0.17575757575757575,0.0007330768763738002,0.24372900721796273,10,81,172,-0.0006781016581886122,5.4975218185188004e-05,0.03364796781694356,0.17575757575757575,0.24372900721796273,0.8,0.6,0.6,0.5,0.6,0.62
producer_net,Producer Net,rolling_260w,1W,822,-0.036654847727568475,-0.022462391005429412,0.0303030303030303,0.003936459681606009,1.2011504518729033,10,39,183,-0.004807112465032299,-0.0008706527834262898,0.036654847727568475,0.0303030303030303,1.2011504518729033,1.0,0.2,1.0,0.5,0.6,0.66
producer_net,Producer Net,full_history,1W,873,-0.006957936902716316,0.00972021421190077,-0.07878787878787878,-0.0003560113278282183,-0.08617782507726521,10,87,87,0.0013123996123063262,0.0009563882844781079,0.006957936902716316,0.07878787878787878,0.08617782507726521,0.4,0.4,0.4,1.0,0.6,0.56
producer_net,Producer Net,rolling_52w,2W,821,0.015908012684411808,0.009686475446207866,0.11515151515151514,-0.0008019626548435546,-0.20445402363522625,10,115,181,0.0012866321131290174,0.0004846694582854629,0.015908012684411808,0.11515151515151514,0.20445402363522625,0.6,0.6,0.2,0.5,0.6,0.5
producer_net,Producer Net,rolling_104w,2W,821,-0.014356236474683051,-0.030578282272709107,-0.12727272727272726,0.002674730267019738,0.6698641269251572,10,94,173,-0.004072997007806081,-0.0013982667407863433,0.014356236474683051,0.12727272727272726,0.6698641269251572,0.2,0.8,0.8,0.5,0.6,0.58
producer_net,Producer Net,rolling_156w,2W,821,-0.03599845881888939,-0.04681114534056168,-0.24848484848484845,-0.001402521544808684,-0.34344974781447934,10,81,171,0.0007249771612009591,-0.0006775443836077249,0.03599845881888939,0.24848484848484845,0.34344974781447934,0.8,1.0,0.6,0.5,0.6,0.7
producer_net,Producer Net,rolling_260w,2W,821,-0.038990234083650176,-0.040456131349094815,-0.09090909090909088,0.006727611951712131,1.5984060010053127,10,39,182,-0.007789294579672237,-0.001061682627960106,0.038990234083650176,0.09090909090909088,1.5984060010053127,1.0,0.4,1.0,0.5,0.6,0.7
producer_net,Producer Net,full_history,2W,872,0.0154486790871639,0.01584765538445128,0.07878787878787878,0.0015407831158945752,0.2676221015471417,10,87,86,0.0008334547759964623,0.0023742378918910375,0.0154486790871639,0.07878787878787878,0.2676221015471417,0.4,0.2,0.4,1.0,0.6,0.52
producer_net,Producer Net,rolling_52w,4W,819,0.040787689063952665,0.031662053278305846,0.33333333333333326,0.001372817279010836,0.25235033341943336,10,115,180,0.0009062991068184399,0.002279116385829276,0.040787689063952665,0.33333333333333326,0.25235033341943336,0.6,1.0,0.4,0.5,0.6,0.62
producer_net,Producer Net,rolling_104w,4W,819,-0.012940530729472067,-0.027413859334320154,0.2121212121212121,0.0005287573238931084,0.09756464327599462,10,94,171,-0.003536879641122937,-0.0030081223172298286,0.012940530729472067,0.2121212121212121,0.09756464327599462,0.2,0.6,0.2,0.5,0.6,0.42000000000000004
producer_net,Producer Net,rolling_156w,4W,819,-0.04111089696459135,-0.054005908917346496,-0.28484848484848485,-0.0036469649495737694,-0.6804673027117419,10,81,169,0.0027535638420901933,-0.0008934011074835763,0.04111089696459135,0.28484848484848485,0.6804673027117419,1.0,0.8,0.6,0.5,0.6,0.7
producer_net,Producer Net,rolling_260w,4W,819,-0.040874403957667255,-0.04446884047624545,0.10303030303030303,0.01048043747254671,2.0264601803261186,10,39,180,-0.011116993333358317,-0.0006365558608116064,0.040874403957667255,0.10303030303030303,2.0264601803261186,0.8,0.2,1.0,0.5,0.6,0.62
producer_net,Producer Net,full_history,4W,870,0.029023505473157747,0.02541186113855977,0.17575757575757575,0.005344062725313024,0.7259346692038288,10,87,84,0.00017500614850733085,0.005519068873820355,0.029023505473157747,0.17575757575757575,0.7259346692038288,0.4,0.4,0.8,1.0,0.6,0.64
producer_net,Producer Net,rolling_52w,8W,815,0.025940025162047953,0.043540750673660075,0.41818181818181815,-0.00133090229268095,-0.1848946790923728,10,115,178,0.004703418766275734,0.003372516473594784,0.025940025162047953,0.41818181818181815,0.1848946790923728,0.2,1.0,0.2,0.5,0.6,0.5
producer_net,Producer Net,rolling_104w,8W,815,-0.04619605910790767,-0.0348399788272182,0.2121212121212121,-0.006523578838701833,-0.9079270673131759,10,94,167,0.003603177722373373,-0.0029204011163284603,0.04619605910790767,0.2121212121212121,0.9079270673131759,0.6,0.4,0.8,0.5,0.6,0.58
producer_net,Producer Net,rolling_156w,8W,815,-0.07496654125457693,-0.07125002910720121,-0.2727272727272727,-0.00872095411014435,-1.2037705049106344,10,81,165,0.009590416868809775,0.000869462758665426,0.07496654125457693,0.2727272727272727,1.2037705049106344,0.8,0.6,1.0,0.5,0.6,0.7
producer_net,Producer Net,rolling_260w,8W,815,-0.0758877709895658,-0.05665942379327029,0.07878787878787878,0.005762934277478436,0.8921061424063426,10,39,176,-0.007453722381115285,-0.0016907881036368484,0.0758877709895658,0.07878787878787878,0.8921061424063426,1.0,0.2,0.6,0.5,0.6,0.58
producer_net,Producer Net,full_history,8W,866,0.04050546996335226,0.04237976251529905,0.29696969696969694,0.007896630096355727,0.8864074550126777,10,87,80,0.00034447671553514744,0.008241106811890875,0.04050546996335226,0.29696969696969694,0.8864074550126777,0.4,0.8,0.4,1.0,0.6,0.64
total_open_interest,Total Open Interest,rolling_52w,1W,822,-0.03924118251752943,-0.029885296560501082,-0.04242424242424241,-0.0037217188850868885,-1.281429144687261,10,131,144,0.00410949985293488,0.00038778096784799115,0.03924118251752943,0.04242424242424241,1.281429144687261,1.0,0.5,1.0,0.5,0.6,0.72
total_open_interest,Total Open Interest,rolling_104w,1W,822,-0.007470666130393726,4.159724653790729e-05,0.006060606060606061,-0.0009345212689347655,-0.33236907710268604,10,144,127,0.002502782384346888,0.0015682611154121224,0.007470666130393726,0.006060606060606061,0.33236907710268604,0.6,0.2,0.4,0.5,0.6,0.4600000000000001
total_open_interest,Total Open Interest,rolling_156w,1W,822,0.004794265629370884,0.0049330507643214555,0.04242424242424241,0.0011448593203661319,0.3845464916530423,10,151,98,0.0003189507643931341,0.001463810084759266,0.004794265629370884,0.04242424242424241,0.3845464916530423,0.4,0.5,0.6,0.5,0.6,0.52
total_open_interest,Total Open Interest,rolling_260w,1W,822,-0.0005057816468662085,0.0006861687762231037,-0.05454545454545454,-0.0004967824381025841,-0.1598029846010321,10,160,93,0.0011349895113717263,0.0006382070732691422,0.0005057816468662085,0.05454545454545454,0.1598029846010321,0.2,0.8,0.2,0.5,0.6,0.45999999999999996
total_open_interest,Total Open Interest,full_history,1W,873,0.018863153508393175,0.012671709177121524,0.16363636363636364,-0.0014266139479504139,-0.40707504047497495,10,86,88,0.001120842026496782,-0.00030577192145363197,0.018863153508393175,0.16363636363636364,0.40707504047497495,0.8,1.0,0.8,1.0,0.6,0.8400000000000001
total_open_interest,Total Open Interest,rolling_52w,2W,821,-0.0658721655109696,-0.043009387114203546,-0.22424242424242422,-0.004943875320086726,-1.2417122477689269,10,131,144,0.0051919576355445255,0.0002480823154578001,0.0658721655109696,0.22424242424242422,1.2417122477689269,1.0,1.0,1.0,0.5,0.6,0.82
total_open_interest,Total Open Interest,rolling_104w,2W,821,-0.023764477450781016,-0.002652664390362562,0.04242424242424241,-0.0010764197629343285,-0.2798263214319802,10,143,127,0.003946381365060521,0.002869961602126193,0.023764477450781016,0.04242424242424241,0.2798263214319802,0.8,0.4,0.6,0.5,0.6,0.5800000000000001
total_open_interest,Total Open Interest,rolling_156w,2W,821,-0.007591769293210805,0.007147235184516021,0.0303030303030303,0.0005510272329872183,0.13140838919958683,10,150,98,0.0008507629383947439,0.0014017901713819622,0.007591769293210805,0.0303030303030303,0.13140838919958683,0.4,0.2,0.2,0.5,0.6,0.38
total_open_interest,Total Open Interest,rolling_260w,2W,821,-0.017367101859907905,-0.0009805430885460257,0.06666666666666665,0.000661570165637281,0.16234348036659096,10,159,93,0.0020091066708385957,0.0026706768364758767,0.017367101859907905,0.06666666666666665,0.16234348036659096,0.6,0.6,0.4,0.5,0.6,0.54
