factor,display_name,definition,window_weeks,production_safe,rolling_definition,coverage,valid_observations,median_abs_weekly_change,p95_abs_weekly_change,std_weekly_change,effective_decile_count,definition_note,information_score_1w,information_score_2w,information_score_4w,information_score_8w,information_score_mean_all_horizons,information_score_mean_4w_8w,mean_abs_spearman_all_horizons,mean_abs_decile_monotonicity_all_horizons,mean_abs_tail_tstat_all_horizons,coverage_rank,decile_count_rank,median_change_rank,p95_change_rank,stability_score,overall_score
mm_net,MM Net,full_history,,False,False,1.0,874,0.03775743707093826,0.1624713958810069,0.0763129165582601,10,Research benchmark only; not production-safe because it uses future observations.,0.6799999999999999,0.6,0.56,0.76,0.6499999999999999,0.66,0.032363239349249555,0.18787878787878787,0.8285049294603646,1.0,0.6,1.0,1.0,0.9,0.7366666666666667
mm_net,MM Net,rolling_260w,260.0,True,True,0.9416475972540046,823,0.038461538461538436,0.20365384615384582,0.09114383710130879,10,Rolling percentile with 260 weekly observations and 52W minimum data.,0.74,0.62,0.66,0.66,0.67,0.66,0.05517944039474629,0.5666666666666667,0.30577194254482615,0.5,0.6,0.8,0.8,0.675,0.6683333333333334
mm_net,MM Net,rolling_156w,156.0,True,True,0.9416475972540046,823,0.03846153846153849,0.2115384615384615,0.10198892250954233,10,Rolling percentile with 156 weekly observations and 52W minimum data.,0.6,0.54,0.66,0.74,0.635,0.7,0.034195336043927216,0.3181818181818181,1.3058248786695565,0.5,0.6,0.6,0.6,0.5750000000000001,0.6366666666666666
mm_net,MM Net,rolling_104w,104.0,True,True,0.9416475972540046,823,0.04807692307692309,0.24038461538461536,0.11128707283136242,10,Rolling percentile with 104 weekly observations and 52W minimum data.,0.48,0.62,0.58,0.5,0.545,0.54,0.01900850506489856,0.2939393939393939,0.9928135345567262,0.5,0.6,0.4,0.4,0.475,0.52
mm_net,MM Net,rolling_52w,52.0,True,True,0.9416475972540046,823,0.05769230769230771,0.2692307692307693,0.1327991719789498,10,Rolling percentile with 52 weekly observations and 52W minimum data.,0.5,0.62,0.54,0.34,0.5,0.44000000000000006,0.02955170899250917,0.28787878787878785,0.2950984874677638,0.5,0.6,0.2,0.2,0.375,0.4383333333333333
producer_net,Producer Net,full_history,,False,False,1.0,874,0.026315789473684195,0.11144164759725399,0.05321955589976641,10,Research benchmark only; not production-safe because it uses future observations.,0.56,0.52,0.64,0.64,0.5900000000000001,0.64,0.022983897856597556,0.15757575757575756,0.4915355127102284,1.0,0.6,1.0,1.0,0.9,0.7100000000000001
producer_net,Producer Net,rolling_156w,156.0,True,True,0.9416475972540046,823,0.03205128205128205,0.1858974358974359,0.08425631116288367,10,Rolling percentile with 156 weekly observations and 52W minimum data.,0.62,0.7,0.7,0.7,0.6799999999999999,0.7,0.04643096621375031,0.24545454545454543,0.6178541406637046,0.5,0.6,0.6,0.6,0.5750000000000001,0.6516666666666666
producer_net,Producer Net,rolling_260w,260.0,True,True,0.9416475972540046,823,0.02692307692307694,0.16850118328861038,0.07832136579478069,10,Rolling percentile with 260 weekly observations and 52W minimum data.,0.66,0.7,0.62,0.58,0.64,0.6,0.04810181418961293,0.07575757575757575,1.4295306939026693,0.5,0.6,0.8,0.8,0.675,0.6383333333333333
producer_net,Producer Net,rolling_104w,104.0,True,True,0.9416475972540046,823,0.038461538461538436,0.22115384615384615,0.09466592667711463,10,Rolling percentile with 104 weekly observations and 52W minimum data.,0.66,0.58,0.42000000000000004,0.58,0.56,0.5,0.02244262098132933,0.18484848484848482,0.6129266507937781,0.5,0.6,0.4,0.4,0.475,0.5116666666666667
producer_net,Producer Net,rolling_52w,52.0,True,True,0.9416475972540046,823,0.05769230769230768,0.28749999999999865,0.12715715804067523,10,Rolling percentile with 52 weekly observations and 52W minimum data.,0.5,0.5,0.62,0.5,0.53,0.56,0.021732072714378225,0.3242424242424242,0.1642454297605119,0.5,0.6,0.2,0.2,0.375,0.48833333333333334
