factor,display_name,definition,definition_type,window_weeks,signal_column,horizon,return_column,rank_corr,high_low_spread,bucket_monotonicity_score,positive_bucket_count,negative_bucket_count,sample_count,missing_count
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,1W,gold_return_1w,-0.01823687827703308,-0.00023537348842280815,-0.24848484848484845,8,2,822,52
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,2W,gold_return_2w,-0.03833785872336433,-0.0007983796315714632,-0.34545454545454546,8,2,821,53
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,4W,gold_return_4w,-0.04002207529902312,-0.0019330907284914713,-0.28484848484848485,9,1,819,55
mm_net,MM Net,52W percentile,percentile,52.0,mm_net_percentile_52w,8W,gold_return_8w,-0.02161002367061617,-0.003084764544793296,-0.2727272727272727,10,0,815,59
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,1W,gold_return_1w,0.004480620230392366,0.0018675149408210808,0.07878787878787878,8,2,822,52
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,2W,gold_return_2w,-0.011358466915016942,0.003296519533304943,0.406060606060606,10,0,821,53
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,4W,gold_return_4w,0.005008106680389949,0.0062774396295269316,0.35757575757575755,10,0,819,55
mm_net,MM Net,104W percentile,percentile,104.0,mm_net_percentile_104w,8W,gold_return_8w,0.05518682643379499,0.009924067378881317,0.33333333333333326,10,0,815,59
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,1W,gold_return_1w,0.018936530673630315,0.0019392607129323051,0.07878787878787878,7,3,822,52
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,2W,gold_return_2w,0.00879749805128709,0.004660537567216451,0.12727272727272726,7,3,821,53
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,4W,gold_return_4w,0.029221051233583654,0.008596996317779007,0.309090909090909,10,0,819,55
mm_net,MM Net,156W percentile,percentile,156.0,mm_net_percentile_156w,8W,gold_return_8w,0.07982626421720779,0.011421538400336016,0.7575757575757575,10,0,815,59
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,1W,gold_return_1w,0.031794085627490434,0.0013197554722958124,0.4545454545454545,8,2,822,52
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,2W,gold_return_2w,0.027663210845516737,0.00030681516272007244,0.5636363636363636,8,2,821,53
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,4W,gold_return_4w,0.05450989086125852,0.00022315809614622227,0.5878787878787878,8,2,819,55
mm_net,MM Net,260W percentile,percentile,260.0,mm_net_percentile_260w,8W,gold_return_8w,0.10675057424471945,0.0056186169087701614,0.6606060606060605,8,2,815,59
mm_net,MM Net,Full History percentile,percentile,,mm_net_percentile_full_history,1W,gold_return_1w,0.027942569522488143,-0.0012633493064980275,0.17575757575757575,8,2,873,1
mm_net,MM Net,Full History percentile,percentile,,mm_net_percentile_full_history,2W,gold_return_2w,0.01454558518064525,-0.0018045036277553267,0.0303030303030303,7,3,872,2
mm_net,MM Net,Full History percentile,percentile,,mm_net_percentile_full_history,4W,gold_return_4w,0.028836335234053094,-0.0029846264827125893,0.16363636363636364,8,2,870,4
