factor,definition,horizon,train_score,test_score,stability_score,recommended,reason
MM,260W percentile,1W,44.11,67.51,69.07,True,Top production-eligible score for this factor/horizon; stability score 69.1.
MM,260W zscore,1W,44.29,66.3,68.71,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 68.7.
MM,156W percentile,1W,47.61,62.22,68.44,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 68.4.
MM,104W zscore,1W,54.8,54.82,68.37,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 68.4.
MM,52W percentile,1W,56.76,44.49,65.44,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 65.4.
MM,52W zscore,1W,56.4,42.11,64.48,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 64.5.
MM,104W percentile,1W,58.68,58.69,41.08,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 41.1.
MM,156W zscore,1W,54.89,60.08,40.24,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 40.2.
MM,Full History percentile,1W,34.47,63.12,34.16,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 34.2."
MM,52W percentile,2W,74.12,46.24,72.13,True,Top production-eligible score for this factor/horizon; stability score 72.1.
MM,260W zscore,2W,50.13,69.72,71.95,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 71.9.
MM,52W zscore,2W,69.63,47.73,71.08,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 71.1.
MM,104W zscore,2W,68.95,65.85,47.18,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 47.2.
MM,260W percentile,2W,55.6,77.52,46.59,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 46.6.
MM,156W zscore,2W,63.53,69.38,46.52,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 46.5.
MM,156W percentile,2W,66.91,64.74,46.08,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 46.1.
MM,104W percentile,2W,68.21,48.06,40.7,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 40.7.
MM,Full History percentile,2W,36.81,65.39,35.77,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 35.8."
MM,260W percentile,4W,61.53,84.89,81.24,True,Top production-eligible score for this factor/horizon; stability score 81.2.
MM,260W zscore,4W,56.57,78.54,77.29,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 77.3.
MM,52W percentile,4W,80.27,38.37,71.52,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 71.5.
MM,52W zscore,4W,72.54,42.51,70.27,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 70.3.
MM,156W percentile,4W,69.89,78.27,51.85,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 51.9.
MM,104W zscore,4W,76.0,70.73,51.36,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 51.4.
MM,156W zscore,4W,62.24,79.87,49.74,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 49.7.
MM,104W percentile,4W,76.51,65.2,49.6,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 49.6.
MM,Full History percentile,4W,35.55,72.14,37.69,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 37.7."
MM,Full History percentile,8W,49.38,77.56,74.43,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 74.4."
MM,260W zscore,8W,47.69,78.67,74.23,True,Top production-eligible score for this factor/horizon; stability score 74.2.
MM,52W zscore,8W,78.25,37.33,70.45,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 70.5.
MM,104W percentile,8W,78.69,82.93,56.57,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 56.6.
MM,104W zscore,8W,71.7,86.29,55.29,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 55.3.
MM,156W percentile,8W,66.96,90.55,55.13,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 55.1.
MM,156W zscore,8W,57.2,86.29,50.22,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 50.2.
MM,260W percentile,8W,54.72,85.36,49.03,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 49.0.
MM,52W percentile,8W,87.02,46.71,46.81,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 46.8.
OI,52W percentile,1W,83.33,45.27,75.01,True,Top production-eligible score for this factor/horizon; stability score 75.0.
OI,52W zscore,1W,78.49,42.57,72.37,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 72.4.
OI,104W percentile,1W,59.7,54.18,69.86,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 69.9.
OI,156W percentile,1W,46.18,55.78,65.69,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 65.7.
OI,Full History percentile,1W,35.54,39.59,56.29,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 56.3."
OI,104W zscore,1W,61.08,58.0,41.68,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 41.7.
OI,156W zscore,1W,49.97,54.06,36.41,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 36.4.
OI,260W percentile,1W,40.76,48.55,31.26,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 31.3.
OI,260W zscore,1W,40.27,41.92,28.77,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 28.8.
OI,52W percentile,2W,87.63,39.24,74.4,True,Top production-eligible score for this factor/horizon; stability score 74.4.
OI,52W zscore,2W,85.79,36.03,72.64,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 72.6.
OI,104W percentile,2W,66.56,46.39,69.53,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 69.5.
OI,Full History percentile,2W,35.29,60.16,63.41,False,"Research benchmark only; full-history ordering uses the whole sample, stability score 63.4."
OI,260W percentile,2W,40.71,40.86,58.55,False,Not the top production-eligible score for this factor/horizon; consistent_spread_sign; stability score 58.5.
OI,104W zscore,2W,63.06,55.25,41.41,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 41.4.
OI,156W zscore,2W,53.51,54.19,37.7,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 37.7.
OI,156W percentile,2W,47.83,46.5,33.01,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 33.0.
OI,260W zscore,2W,41.46,37.36,27.58,False,Not the top production-eligible score for this factor/horizon; opposite_spread_sign; stability score 27.6.
