factor,sample_split,gold_regime,forward_horizon,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,max_drawdown_after_signal
producer_net_percentile_156w,all,all,1W,0-10 percentile,81,-0.0006781016581886122,-0.0019488611299880443,0.4691358024691358,-0.06468940995295891
producer_net_percentile_156w,all,all,1W,10-20 percentile,62,0.0034961912262164844,0.0052882240355695,0.6129032258064516,-0.048254193694034275
producer_net_percentile_156w,all,all,1W,20-30 percentile,56,0.004207735931424715,0.006600459004444836,0.5535714285714286,-0.05071641191914644
producer_net_percentile_156w,all,all,1W,30-40 percentile,75,0.004445805954312692,0.003960988324271275,0.6266666666666667,-0.050155319931290854
producer_net_percentile_156w,all,all,1W,40-50 percentile,69,0.0005265414930590368,0.003012317228141548,0.5942028985507246,-0.08635005098425519
producer_net_percentile_156w,all,all,1W,50-60 percentile,67,0.004506034592784474,0.005152884810619707,0.582089552238806,-0.050276545080313984
producer_net_percentile_156w,all,all,1W,60-70 percentile,87,0.0030000209154143697,0.0026987948158914143,0.5632183908045977,-0.05470318951103592
producer_net_percentile_156w,all,all,1W,70-80 percentile,58,0.0011458192011324518,0.0011172023017411714,0.5172413793103449,-0.042167673859193844
producer_net_percentile_156w,all,all,1W,80-90 percentile,95,0.0010161156309987953,0.0020992425868009423,0.5894736842105263,-0.04491460574242323
producer_net_percentile_156w,all,all,1W,90-100 percentile,173,4.0143889891415085e-05,-0.000738762659609371,0.4913294797687861,-0.12570918451764834
producer_net_percentile_156w,all,all,2W,0-10 percentile,81,0.0007249771612009591,-0.0004535938348887436,0.48148148148148145,-0.06468940995295891
producer_net_percentile_156w,all,all,2W,10-20 percentile,62,0.004175330460135392,0.0031435878218017965,0.5967741935483871,-0.06736381073620279
producer_net_percentile_156w,all,all,2W,20-30 percentile,56,0.006637830748332151,0.006903073606225996,0.5714285714285714,-0.0808871997749745
producer_net_percentile_156w,all,all,2W,30-40 percentile,75,0.012615654449995727,0.007672865363574477,0.6266666666666667,-0.05349203288269
producer_net_percentile_156w,all,all,2W,40-50 percentile,69,0.00150737446886042,0.003943704293066119,0.5362318840579711,-0.1062216467438084
producer_net_percentile_156w,all,all,2W,50-60 percentile,67,0.007085919252199387,0.004490244675524613,0.6268656716417911,-0.06682651925334737
producer_net_percentile_156w,all,all,2W,60-70 percentile,87,0.004967163230315801,0.0013167597346188664,0.5287356321839081,-0.0585265554840122
producer_net_percentile_156w,all,all,2W,70-80 percentile,58,0.004077140097775874,0.002890369077595323,0.5517241379310345,-0.06125140330543344
producer_net_percentile_156w,all,all,2W,80-90 percentile,95,0.002177048694191275,-0.0005454731908584032,0.49473684210526314,-0.06312806488907452
producer_net_percentile_156w,all,all,2W,90-100 percentile,172,-0.0006957959496592708,0.000634759986422595,0.5058139534883721,-0.15878546754349454
producer_net_percentile_156w,all,all,4W,0-10 percentile,81,0.0027535638420901933,0.0035731299926673454,0.5185185185185185,-0.07851149906442356
producer_net_percentile_156w,all,all,4W,10-20 percentile,62,0.0097909323338161,0.01090192068342255,0.6129032258064516,-0.13647792390513236
producer_net_percentile_156w,all,all,4W,20-30 percentile,56,0.00685863314846281,0.0005457971850679755,0.5,-0.0808871997749745
producer_net_percentile_156w,all,all,4W,30-40 percentile,75,0.019755010003370925,0.019618522365159485,0.6266666666666667,-0.11727902345840291
producer_net_percentile_156w,all,all,4W,40-50 percentile,69,0.008752298836178991,0.0039972243823278575,0.5652173913043478,-0.11610471424735846
producer_net_percentile_156w,all,all,4W,50-60 percentile,67,0.015503764672589708,0.0038924961912021327,0.582089552238806,-0.07050355809102715
producer_net_percentile_156w,all,all,4W,60-70 percentile,87,0.007731957567739671,0.007659606407292241,0.5747126436781609,-0.07737720432495843
producer_net_percentile_156w,all,all,4W,70-80 percentile,58,0.00803383113012579,0.007003954631444098,0.5862068965517241,-0.073624454142869
producer_net_percentile_156w,all,all,4W,80-90 percentile,95,0.006578833012327714,0.0027070462848199917,0.5263157894736842,-0.07716319545461392
producer_net_percentile_156w,all,all,4W,90-100 percentile,170,-0.0009742670664877048,0.001551581138077185,0.5117647058823529,-0.15878546754349454
producer_net_percentile_156w,all,all,8W,0-10 percentile,81,0.009590416868809775,0.0044181700660455014,0.5061728395061729,-0.08665813583104709
producer_net_percentile_156w,all,all,8W,10-20 percentile,62,0.012565476059048545,0.012966841847563693,0.6129032258064516,-0.13647792390513236
producer_net_percentile_156w,all,all,8W,20-30 percentile,56,0.02804059712295424,0.01861267069632988,0.6071428571428571,-0.1204135739072435
producer_net_percentile_156w,all,all,8W,30-40 percentile,75,0.025357487689899167,0.02613448804414986,0.56,-0.13647792390513236
producer_net_percentile_156w,all,all,8W,40-50 percentile,69,0.01802320623455912,0.008137172552748817,0.5652173913043478,-0.11610471424735846
producer_net_percentile_156w,all,all,8W,50-60 percentile,67,0.028506817044891854,0.020974926761439194,0.582089552238806,-0.10164593324429205
producer_net_percentile_156w,all,all,8W,60-70 percentile,87,0.019491353700353407,0.02590734813142115,0.5517241379310345,-0.15878546754349454
producer_net_percentile_156w,all,all,8W,70-80 percentile,58,0.007423039474620296,-0.003888759540678688,0.4482758620689655,-0.07803865236007446
producer_net_percentile_156w,all,all,8W,80-90 percentile,95,0.014472392677804759,0.007852665246214308,0.5684210526315789,-0.10414806770093099
producer_net_percentile_156w,all,all,8W,90-100 percentile,166,0.0006469120743100008,-0.0034665746241301365,0.4879518072289157,-0.15878546754349454
