factor,sample_split,gold_regime,forward_horizon,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,max_drawdown_after_signal
mm_net_percentile_156w,all,bull,1W,0-10 percentile,21,0.003864480495201785,0.005583951691657152,0.6666666666666666,-0.08635005098425519
mm_net_percentile_156w,all,bull,1W,10-20 percentile,14,-0.013014346319646113,0.005668468469278376,0.5714285714285714,-0.21969518766939888
mm_net_percentile_156w,all,bull,1W,20-30 percentile,33,0.009760940263193242,0.008401745726806409,0.6060606060606061,-0.043731033667568364
mm_net_percentile_156w,all,bull,1W,30-40 percentile,26,-0.003520613306570779,0.0028187268673006693,0.5384615384615384,-0.12031597586732656
mm_net_percentile_156w,all,bull,1W,40-50 percentile,53,-0.0013035516794007614,-0.0026559913940725766,0.41509433962264153,-0.042292359337689045
mm_net_percentile_156w,all,bull,1W,50-60 percentile,35,0.0068431263559949555,0.0062464869893334996,0.6571428571428571,-0.05213784689605472
mm_net_percentile_156w,all,bull,1W,60-70 percentile,37,0.01010213076498245,0.006894481048722367,0.6216216216216216,-0.05470318951103592
mm_net_percentile_156w,all,bull,1W,70-80 percentile,24,0.006540461570556141,0.010021445810590612,0.7083333333333334,-0.08222955854959046
mm_net_percentile_156w,all,bull,1W,80-90 percentile,41,0.004386251708376874,0.003577005468572203,0.6829268292682927,-0.02347506527062959
mm_net_percentile_156w,all,bull,1W,90-100 percentile,103,0.0041811821488611945,0.006072758732940331,0.5728155339805825,-0.05119879076312228
mm_net_percentile_156w,all,bull,2W,0-10 percentile,21,0.0005069394844129647,0.02291447396969759,0.6190476190476191,-0.21969518766939888
mm_net_percentile_156w,all,bull,2W,10-20 percentile,14,-0.006446660672175435,0.009597284193470723,0.6428571428571429,-0.21969518766939888
mm_net_percentile_156w,all,bull,2W,20-30 percentile,33,0.008813868109562467,0.012144840365927445,0.6666666666666666,-0.15878546754349454
mm_net_percentile_156w,all,bull,2W,30-40 percentile,26,-0.0032783357505494085,0.0006857783615683566,0.5384615384615384,-0.12031597586732656
mm_net_percentile_156w,all,bull,2W,40-50 percentile,52,0.0009160433377840111,-0.0009469963136824466,0.4807692307692308,-0.05429443025722758
mm_net_percentile_156w,all,bull,2W,50-60 percentile,35,0.0146681286621427,0.01005748451742794,0.7142857142857143,-0.06457724112209928
mm_net_percentile_156w,all,bull,2W,60-70 percentile,37,0.020474977171200538,0.011854697503713263,0.6756756756756757,-0.0585265554840122
mm_net_percentile_156w,all,bull,2W,70-80 percentile,24,0.013673980709648814,0.016784968239674347,0.6666666666666666,-0.08222955854959046
mm_net_percentile_156w,all,bull,2W,80-90 percentile,41,0.004764021607453592,0.0032749363988979763,0.5853658536585366,-0.08913377570526215
mm_net_percentile_156w,all,bull,2W,90-100 percentile,103,0.008642045466581174,0.006564261516026626,0.5728155339805825,-0.060829326789522464
mm_net_percentile_156w,all,bull,4W,0-10 percentile,21,0.016543074167860796,0.02968617516343164,0.7142857142857143,-0.22258981448457094
mm_net_percentile_156w,all,bull,4W,10-20 percentile,14,-0.012549120417925655,0.0002642136539366957,0.5,-0.2284381274149232
mm_net_percentile_156w,all,bull,4W,20-30 percentile,32,-0.0033988356425565733,0.009579391371591472,0.53125,-0.2267298547176011
mm_net_percentile_156w,all,bull,4W,30-40 percentile,25,-0.004083243238013848,-0.006458375775888703,0.4,-0.12031597586732656
mm_net_percentile_156w,all,bull,4W,40-50 percentile,52,0.004699766604956214,0.004967817741891478,0.5192307692307693,-0.24182065122572693
mm_net_percentile_156w,all,bull,4W,50-60 percentile,35,0.028992853934674188,0.023786625675445094,0.6571428571428571,-0.09627568673982723
