factor,sample_split,gold_regime,forward_horizon,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,max_drawdown_after_signal
swap_net_percentile_156w,all,all,1W,0-10 percentile,150,0.002449689054297352,0.0035621488342943985,0.56,-0.05622979951011842
swap_net_percentile_156w,all,all,1W,10-20 percentile,74,0.0012142302517033031,-0.001341219853094766,0.47297297297297297,-0.0808871997749745
swap_net_percentile_156w,all,all,1W,20-30 percentile,72,0.0022302607788348616,0.006010277474657322,0.5694444444444444,-0.05119879076312228
swap_net_percentile_156w,all,all,1W,30-40 percentile,68,-0.001956178673747417,0.0020551897000578023,0.5441176470588235,-0.12570918451764834
swap_net_percentile_156w,all,all,1W,40-50 percentile,53,0.004497817280824418,0.005890511578737101,0.6037735849056604,-0.050276545080313984
swap_net_percentile_156w,all,all,1W,50-60 percentile,91,-0.001826212575063074,-0.0012373178694460307,0.4725274725274725,-0.12031597586732656
swap_net_percentile_156w,all,all,1W,60-70 percentile,79,0.004714422401433754,0.0018703320627813103,0.5949367088607594,-0.027354871669572733
swap_net_percentile_156w,all,all,1W,70-80 percentile,57,0.001358424986811253,0.005164532238923991,0.5789473684210527,-0.06717395609381072
swap_net_percentile_156w,all,all,1W,80-90 percentile,67,0.0010730530697851805,0.0011025966001880771,0.5074626865671642,-0.03988636489914599
swap_net_percentile_156w,all,all,1W,90-100 percentile,113,0.0032762325571259326,0.0025120497294532917,0.6017699115044248,-0.08635005098425519
swap_net_percentile_156w,all,all,2W,0-10 percentile,150,0.0036763971235496736,0.0015564620409653784,0.5266666666666666,-0.0808871997749745
swap_net_percentile_156w,all,all,2W,10-20 percentile,74,0.002930172933259759,0.0003275879362982792,0.5135135135135135,-0.0808871997749745
swap_net_percentile_156w,all,all,2W,20-30 percentile,72,0.008378828687160129,0.007186105869216752,0.5555555555555556,-0.07259206798866857
swap_net_percentile_156w,all,all,2W,30-40 percentile,68,-0.002617711259108543,-0.0011347884138040443,0.47058823529411764,-0.12570918451764834
swap_net_percentile_156w,all,all,2W,40-50 percentile,53,0.003065436567771216,0.0,0.49056603773584906,-0.12570918451764834
swap_net_percentile_156w,all,all,2W,50-60 percentile,90,0.0009775385172292965,0.004165421100336575,0.5555555555555556,-0.15878546754349454
swap_net_percentile_156w,all,all,2W,60-70 percentile,79,0.006531328290182165,0.0058098647230488965,0.5949367088607594,-0.050155319931290854
swap_net_percentile_156w,all,all,2W,70-80 percentile,57,-0.0016918108301187372,0.002931679988718683,0.5087719298245614,-0.09000439206598332
swap_net_percentile_156w,all,all,2W,80-90 percentile,67,0.005660407332467189,0.0004961819295157266,0.5074626865671642,-0.06468940995295891
swap_net_percentile_156w,all,all,2W,90-100 percentile,113,0.005962787516537113,0.006242251133369292,0.6283185840707964,-0.1062216467438084
swap_net_percentile_156w,all,all,4W,0-10 percentile,150,0.006363065969163004,0.004367663729117788,0.5533333333333333,-0.0808871997749745
swap_net_percentile_156w,all,all,4W,10-20 percentile,74,0.008939571369269966,0.0037093534180198118,0.5540540540540541,-0.0830846920054108
swap_net_percentile_156w,all,all,4W,20-30 percentile,72,0.014735848616522619,0.009209726480305824,0.5555555555555556,-0.0892351274787535
swap_net_percentile_156w,all,all,4W,30-40 percentile,68,-0.0020105061193434323,-0.0064244545591107816,0.45588235294117646,-0.13932848829941735
swap_net_percentile_156w,all,all,4W,40-50 percentile,53,0.0053415692089325145,0.002155575039768376,0.5094339622641509,-0.12570918451764834
swap_net_percentile_156w,all,all,4W,50-60 percentile,90,0.0022760207178969144,0.00135583107253745,0.5222222222222223,-0.15878546754349454
swap_net_percentile_156w,all,all,4W,60-70 percentile,78,0.004306894732471767,0.001161012230152414,0.5256410256410257,-0.10987044784366473
swap_net_percentile_156w,all,all,4W,70-80 percentile,56,0.008128054338225544,-0.00045108516102454477,0.5,-0.09687728715618193
swap_net_percentile_156w,all,all,4W,80-90 percentile,67,0.01155676033399582,0.004625518437910703,0.582089552238806,-0.07851149906442356
swap_net_percentile_156w,all,all,4W,90-100 percentile,113,0.011093491547255082,0.016401927427676766,0.6814159292035398,-0.13647792390513236
swap_net_percentile_156w,all,all,8W,0-10 percentile,150,0.014973177240797098,0.013718332885928275,0.56,-0.11273366392236395
swap_net_percentile_156w,all,all,8W,10-20 percentile,74,0.014831133197922538,0.008893264459163053,0.5135135135135135,-0.1204135739072435
swap_net_percentile_156w,all,all,8W,20-30 percentile,72,0.03166902607148506,0.017225611536074048,0.5833333333333334,-0.10389974526436185
swap_net_percentile_156w,all,all,8W,30-40 percentile,68,0.004543119932534108,-0.0024721483592882176,0.4852941176470588,-0.15878546754349454
swap_net_percentile_156w,all,all,8W,40-50 percentile,52,0.0027081701016979653,-0.004408144042197859,0.46153846153846156,-0.13138312240508232
swap_net_percentile_156w,all,all,8W,50-60 percentile,89,0.007665725561173286,0.0044181700660455014,0.5393258426966292,-0.15878546754349454
swap_net_percentile_156w,all,all,8W,60-70 percentile,76,0.0022155481052535016,-0.008764351366524703,0.4342105263157895,-0.15878546754349454
swap_net_percentile_156w,all,all,8W,70-80 percentile,56,0.011677467818952878,0.0032150511399761106,0.5535714285714286,-0.14140658076298185
swap_net_percentile_156w,all,all,8W,80-90 percentile,67,0.01178580972889118,0.012810058736068441,0.5373134328358209,-0.13647792390513236
swap_net_percentile_156w,all,all,8W,90-100 percentile,113,0.029250890205225335,0.023757757933778656,0.6460176991150443,-0.13647792390513236
